BaseID,Replicate,Method,Alpha,CellType,Cell,Gene,de_prob,dropout_mid,cell_frac,gene_frac,meanlog,sdlog,doublet_frac,ParamID,TaskIndex,Condition,MasterSeed,CleanSeed,PerturbationSeed,RunMode,NoiseDesign,DeFacLoc,Calibration,RuntimeSec,NCells,InputGenes,AnalysisGenes,DOverN,BaseZeroFraction,ConditionZeroFraction,AddedZeroFractionAllEntries,AddedZeroFractionAmongNonzero,ChangedEntryFraction,ContaminatedCells,ContaminatedCellFraction,ConditionDiagnostic,GroupCountMin,GroupCountMax,GroupCountVector,BackgroundDropoutMid,BackgroundDropoutSeed,BackgroundZeroFraction,DropoutSweepSeed,NoiseDesignDiagnostic,EigenBackend,grid_scale_method,grid_computed_k,grid_orthogonality_error,UniverseP,KeptP,GeneHash,RDS_Path,pcp_lambda,pcp_converged,pcp_iterations,pcp_final_delta,pcp_relative_reconstruction_error,pcp_low_rank_estimate,pcp_sparse_fraction,Q1,Q2,Q3,Q3star,CleanPath,SimilarityPC10,SimilarityPC20,MethodKey,SourceFile,CodeVersion,DoubletDonorDesign,CleanSeedReference,CleanGeneHash,CleanServerPath,LocalPerturbedPath
1,1,Ball,0.05,5,2000,2000,0.08,,0.02,0.1,2,0.3,,12,12,shift,12345,13346,13357,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.34400000000005,2000,2000,1989,0.9945,0.19942725,0.3180205,0.11859325,0.148135506735646,0.11996575,40,0.02,shift,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1989,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_12/BaseID01_ParamID12_rep01_shift_Ball_alpha005.rds,,,,,,,,56.3313724317714,69.5750392796587,71.3519065447656,73.2083075460948,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.999030136700501,0.998763702880064,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,0.04,0.1,2,0.3,,13,13,shift,12345,13346,13357,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.28500000000008,2000,2000,1989,0.9945,0.19942725,0.3180205,0.11859325,0.148135506735646,0.1213215,80,0.04,shift,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1989,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_13/BaseID01_ParamID13_rep01_shift_Ball_alpha005.rds,,,,,,,,56.3368629517442,69.5674271468879,71.3395429524757,73.1852276543132,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.996650649591964,0.995406493170577,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,0.06,0.1,2,0.3,,14,14,shift,12345,13346,13357,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.29999999999995,2000,2000,1989,0.9945,0.19942725,0.3180205,0.11859325,0.148135506735646,0.12271275,120,0.06,shift,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1989,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_14/BaseID01_ParamID14_rep01_shift_Ball_alpha005.rds,,,,,,,,56.3393490818023,69.5514334180121,71.3196991483502,73.1680574287281,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.995588402123298,0.994632286661283,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,0.08,0.1,2,0.3,,15,15,shift,12345,13346,13357,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.35699999999997,2000,2000,1989,0.9945,0.19942725,0.3180205,0.11859325,0.148135506735646,0.12405625,160,0.08,shift,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1989,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_15/BaseID01_ParamID15_rep01_shift_Ball_alpha005.rds,,,,,,,,56.3567681352901,69.5377299790967,71.2976330422389,73.1222236520016,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.993772634226968,0.991267259610162,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,0.1,0.1,2,0.3,,16,16,shift,12345,13346,13357,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.298,2000,2000,1989,0.9945,0.19942725,0.3180205,0.11859325,0.148135506735646,0.12542375,200,0.1,shift,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1989,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_16/BaseID01_ParamID16_rep01_shift_Ball_alpha005.rds,,,,,,,,56.3452433551799,69.5294434931178,71.2894153277919,73.1221998501415,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.994658081924169,0.989845903199926,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,0.02,0.1,1.5,0.3,,17,17,shift,12345,13346,13357,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.28399999999988,2000,2000,1989,0.9945,0.19942725,0.3180205,0.11859325,0.148135506735646,0.11996575,40,0.02,shift,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1989,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_17/BaseID01_ParamID17_rep01_shift_Ball_alpha005.rds,,,,,,,,56.3278700811893,69.5840524036378,71.365120104665,73.2261699380398,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.999570227956433,0.999442076061808,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,0.02,0.1,2,0.3,,18,18,shift,12345,13346,13357,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.37300000000005,2000,2000,1989,0.9945,0.19942725,0.3180205,0.11859325,0.148135506735646,0.11996575,40,0.02,shift,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1989,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_18/BaseID01_ParamID18_rep01_shift_Ball_alpha005.rds,,,,,,,,56.3313724317714,69.5750392796587,71.3519065447656,73.2083075460948,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.999030136700501,0.998763702880064,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,0.02,0.1,3,0.3,,19,19,shift,12345,13346,13357,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.31400000000008,2000,2000,1989,0.9945,0.19942725,0.3180205,0.11859325,0.148135506735646,0.11996575,40,0.02,shift,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1989,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_19/BaseID01_ParamID19_rep01_shift_Ball_alpha005.rds,,,,,,,,56.3391638933267,69.5534975533197,71.3209872204758,73.1706436581499,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.997566052982453,0.997154915104961,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,0.02,0.1,4,0.3,,20,20,shift,12345,13346,13357,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.28700000000003,2000,2000,1989,0.9945,0.19942725,0.3180205,0.11859325,0.148135506735646,0.11996575,40,0.02,shift,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1989,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_20/BaseID01_ParamID20_rep01_shift_Ball_alpha005.rds,,,,,,,,56.345216727423,69.5308809752146,71.2879646474963,73.1263184859757,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.99578802760595,0.994944648830966,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,0.02,0.1,5,0.3,,21,21,shift,12345,13346,13357,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.31099999999992,2000,2000,1989,0.9945,0.19942725,0.3180205,0.11859325,0.148135506735646,0.11996575,40,0.02,shift,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1989,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_21/BaseID01_ParamID21_rep01_shift_Ball_alpha005.rds,,,,,,,,56.3483139475359,69.5116398759645,71.2577926231545,73.0855552488456,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.993769987638085,0.991764007649605,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
