r,Method,Weight,Definition,Threshold_values_schematic,Visualization_range,Threshold_display,Source_note
1.662,Quad,1,,,,,
1.662,Ball,1,,,,,
1.662,Shell,1,,,,,
1.662,LR,1,,,,,
1.663,PCA,0.707106781186548,,,,,
1.663,K's tau,0.601322910402886,,,,,
1.663,Winsor,1,,,,,
1.663,Quad,1,,,,,
1.663,Ball,1,,,,,
1.663,Shell,1,,,,,
1.663,LR,1,,,,,
1.664,PCA,0.707106781186548,,,,,
1.664,K's tau,0.600961538461538,,,,,
1.664,Winsor,1,,,,,
1.664,Quad,1,,,,,
1.664,Ball,1,,,,,
1.664,Shell,1,,,,,
1.664,LR,1,,,,,
1.665,PCA,0.707106781186548,,,,,
1.665,K's tau,0.600600600600601,,,,,
1.665,Winsor,1,,,,,
1.665,Quad,1,,,,,
1.665,Ball,1,,,,,
1.665,Shell,1,,,,,
1.665,LR,1,,,,,
1.666,PCA,0.707106781186548,,,,,
1.666,K's tau,0.600240096038415,,,,,
1.666,Winsor,1,,,,,
1.666,Quad,1,,,,,
1.666,Ball,1,,,,,
1.666,Shell,1,,,,,
1.666,LR,1,,,,,
1.667,PCA,0.707106781186548,,,,,
1.667,K's tau,0.599880023995201,,,,,
1.667,Winsor,1,,,,,
1.667,Quad,1,,,,,
1.667,Ball,1,,,,,
1.667,Shell,1,,,,,
1.667,LR,1,,,,,
1.668,PCA,0.707106781186548,,,,,
1.668,K's tau,0.599520383693046,,,,,
1.668,Winsor,1,,,,,
1.668,Quad,1,,,,,
1.668,Ball,1,,,,,
1.668,Shell,1,,,,,
1.668,LR,1,,,,,
1.669,PCA,0.707106781186548,,,,,
1.669,K's tau,0.599161174355902,,,,,
1.669,Winsor,1,,,,,
1.669,Quad,1,,,,,
1.669,Ball,1,,,,,
1.669,Shell,1,,,,,
1.669,LR,1,,,,,
1.67,PCA,0.707106781186548,,,,,
1.67,K's tau,0.598802395209581,,,,,
1.67,Winsor,1,,,,,
1.67,Quad,1,,,,,
1.67,Ball,1,,,,,
1.67,Shell,1,,,,,
1.67,LR,1,,,,,
1.671,PCA,0.707106781186548,,,,,
1.671,K's tau,0.598444045481748,,,,,
1.671,Winsor,1,,,,,
1.671,Quad,1,,,,,
1.671,Ball,1,,,,,
1.671,Shell,1,,,,,
1.671,LR,1,,,,,
1.672,PCA,0.707106781186548,,,,,
1.672,K's tau,0.598086124401914,,,,,
1.672,Winsor,1,,,,,
1.672,Quad,1,,,,,
1.672,Ball,1,,,,,
1.672,Shell,1,,,,,
1.672,LR,1,,,,,
1.673,PCA,0.707106781186548,,,,,
1.673,K's tau,0.597728631201434,,,,,
1.673,Winsor,1,,,,,
1.673,Quad,1,,,,,
1.673,Ball,1,,,,,
1.673,Shell,1,,,,,
1.673,LR,1,,,,,
1.674,PCA,0.707106781186548,,,,,
1.674,K's tau,0.597371565113501,,,,,
1.674,Winsor,1,,,,,
1.674,Quad,1,,,,,
1.674,Ball,1,,,,,
1.674,Shell,1,,,,,
1.674,LR,1,,,,,
1.675,PCA,0.707106781186548,,,,,
1.675,K's tau,0.597014925373134,,,,,
1.675,Winsor,1,,,,,
1.675,Quad,1,,,,,
1.675,Ball,1,,,,,
1.675,Shell,1,,,,,
1.675,LR,1,,,,,
1.676,PCA,0.707106781186548,,,,,
1.676,K's tau,0.596658711217184,,,,,
1.676,Winsor,1,,,,,
1.676,Quad,1,,,,,
1.676,Ball,1,,,,,
1.676,Shell,1,,,,,
1.676,LR,1,,,,,
1.677,PCA,0.707106781186548,,,,,
1.677,K's tau,0.596302921884317,,,,,
1.677,Winsor,1,,,,,
1.677,Quad,1,,,,,
1.677,Ball,1,,,,,
1.677,Shell,1,,,,,
1.677,LR,1,,,,,
1.678,PCA,0.707106781186548,,,,,
1.678,K's tau,0.595947556615018,,,,,
1.678,Winsor,1,,,,,
1.678,Quad,1,,,,,
1.678,Ball,1,,,,,
1.678,Shell,1,,,,,
1.678,LR,1,,,,,
1.679,PCA,0.707106781186548,,,,,
1.679,K's tau,0.595592614651578,,,,,
1.679,Winsor,1,,,,,
1.679,Quad,1,,,,,
1.679,Ball,1,,,,,
1.679,Shell,1,,,,,
1.679,LR,1,,,,,
1.68,PCA,0.707106781186548,,,,,
1.68,K's tau,0.595238095238095,,,,,
1.68,Winsor,1,,,,,
1.68,Quad,1,,,,,
1.68,Ball,1,,,,,
1.68,Shell,1,,,,,
1.68,LR,1,,,,,
1.681,PCA,0.707106781186548,,,,,
1.681,K's tau,0.594883997620464,,,,,
1.681,Winsor,1,,,,,
1.681,Quad,1,,,,,
1.681,Ball,1,,,,,
1.681,Shell,1,,,,,
1.681,LR,1,,,,,
1.682,PCA,0.707106781186548,,,,,
1.682,K's tau,0.594530321046373,,,,,
1.682,Winsor,1,,,,,
1.682,Quad,1,,,,,
1.682,Ball,1,,,,,
1.682,Shell,1,,,,,
1.682,LR,1,,,,,
1.683,PCA,0.707106781186548,,,,,
1.683,K's tau,0.5941770647653,,,,,
1.683,Winsor,1,,,,,
1.683,Quad,1,,,,,
1.683,Ball,1,,,,,
1.683,Shell,1,,,,,
1.683,LR,1,,,,,
1.684,PCA,0.707106781186548,,,,,
1.684,K's tau,0.593824228028504,,,,,
1.684,Winsor,1,,,,,
1.684,Quad,1,,,,,
1.684,Ball,1,,,,,
1.684,Shell,1,,,,,
1.684,LR,1,,,,,
1.685,PCA,0.707106781186548,,,,,
1.685,K's tau,0.593471810089021,,,,,
1.685,Winsor,1,,,,,
1.685,Quad,1,,,,,
1.685,Ball,1,,,,,
1.685,Shell,1,,,,,
1.685,LR,1,,,,,
1.686,PCA,0.707106781186548,,,,,
1.686,K's tau,0.593119810201661,,,,,
1.686,Winsor,1,,,,,
1.686,Quad,1,,,,,
1.686,Ball,1,,,,,
1.686,Shell,1,,,,,
1.686,LR,1,,,,,
1.687,PCA,0.707106781186548,,,,,
1.687,K's tau,0.592768227622999,,,,,
1.687,Winsor,1,,,,,
1.687,Quad,1,,,,,
1.687,Ball,1,,,,,
1.687,Shell,1,,,,,
1.687,LR,1,,,,,
1.688,PCA,0.707106781186548,,,,,
1.688,K's tau,0.592417061611374,,,,,
1.688,Winsor,1,,,,,
1.688,Quad,1,,,,,
1.688,Ball,1,,,,,
1.688,Shell,1,,,,,
1.688,LR,1,,,,,
1.689,PCA,0.707106781186548,,,,,
1.689,K's tau,0.59206631142688,,,,,
1.689,Winsor,1,,,,,
1.689,Quad,1,,,,,
1.689,Ball,1,,,,,
1.689,Shell,1,,,,,
1.689,LR,1,,,,,
1.69,PCA,0.707106781186548,,,,,
1.69,K's tau,0.591715976331361,,,,,
1.69,Winsor,1,,,,,
1.69,Quad,1,,,,,
1.69,Ball,1,,,,,
1.69,Shell,1,,,,,
1.69,LR,1,,,,,
1.691,PCA,0.707106781186548,,,,,
1.691,K's tau,0.591366055588409,,,,,
1.691,Winsor,1,,,,,
1.691,Quad,1,,,,,
1.691,Ball,1,,,,,
1.691,Shell,1,,,,,
1.691,LR,1,,,,,
1.692,PCA,0.707106781186548,,,,,
1.692,K's tau,0.591016548463357,,,,,
1.692,Winsor,1,,,,,
1.692,Quad,1,,,,,
1.692,Ball,1,,,,,
1.692,Shell,1,,,,,
1.692,LR,1,,,,,
1.693,PCA,0.707106781186548,,,,,
1.693,K's tau,0.590667454223272,,,,,
1.693,Winsor,1,,,,,
1.693,Quad,1,,,,,
1.693,Ball,1,,,,,
1.693,Shell,1,,,,,
1.693,LR,1,,,,,
1.694,PCA,0.707106781186548,,,,,
1.694,K's tau,0.590318772136954,,,,,
1.694,Winsor,1,,,,,
1.694,Quad,1,,,,,
1.694,Ball,1,,,,,
1.694,Shell,1,,,,,
1.694,LR,1,,,,,
1.695,PCA,0.707106781186548,,,,,
1.695,K's tau,0.589970501474926,,,,,
1.695,Winsor,1,,,,,
1.695,Quad,1,,,,,
1.695,Ball,1,,,,,
1.695,Shell,1,,,,,
1.695,LR,1,,,,,
1.696,PCA,0.707106781186548,,,,,
1.696,K's tau,0.589622641509434,,,,,
1.696,Winsor,1,,,,,
1.696,Quad,1,,,,,
1.696,Ball,1,,,,,
1.696,Shell,1,,,,,
1.696,LR,1,,,,,
1.697,PCA,0.707106781186548,,,,,
1.697,K's tau,0.589275191514437,,,,,
1.697,Winsor,1,,,,,
1.697,Quad,1,,,,,
1.697,Ball,1,,,,,
1.697,Shell,1,,,,,
1.697,LR,1,,,,,
1.698,PCA,0.707106781186548,,,,,
1.698,K's tau,0.588928150765607,,,,,
1.698,Winsor,1,,,,,
1.698,Quad,1,,,,,
1.698,Ball,1,,,,,
1.698,Shell,1,,,,,
1.698,LR,1,,,,,
1.699,PCA,0.707106781186548,,,,,
1.699,K's tau,0.588581518540318,,,,,
1.699,Winsor,1,,,,,
1.699,Quad,1,,,,,
1.699,Ball,1,,,,,
1.699,Shell,1,,,,,
1.699,LR,1,,,,,
1.7,PCA,0.707106781186548,,,,,
1.7,K's tau,0.588235294117647,,,,,
1.7,Winsor,1,,,,,
1.7,Quad,1,,,,,
1.7,Ball,1,,,,,
1.7,Shell,1,,,,,
1.7,LR,1,,,,,
1.701,PCA,0.707106781186548,,,,,
1.701,K's tau,0.587889476778366,,,,,
1.701,Winsor,1,,,,,
1.701,Quad,1,,,,,
1.701,Ball,1,,,,,
1.701,Shell,1,,,,,
1.701,LR,1,,,,,
1.702,PCA,0.707106781186548,,,,,
1.702,K's tau,0.587544065804935,,,,,
1.702,Winsor,1,,,,,
1.702,Quad,1,,,,,
1.702,Ball,1,,,,,
1.702,Shell,1,,,,,
1.702,LR,1,,,,,
1.703,PCA,0.707106781186548,,,,,
1.703,K's tau,0.587199060481503,,,,,
1.703,Winsor,1,,,,,
1.703,Quad,1,,,,,
1.703,Ball,1,,,,,
1.703,Shell,1,,,,,
1.703,LR,1,,,,,
1.704,PCA,0.707106781186548,,,,,
1.704,K's tau,0.586854460093897,,,,,
1.704,Winsor,1,,,,,
1.704,Quad,1,,,,,
1.704,Ball,1,,,,,
1.704,Shell,1,,,,,
1.704,LR,1,,,,,
1.705,PCA,0.707106781186548,,,,,
1.705,K's tau,0.586510263929619,,,,,
1.705,Winsor,1,,,,,
1.705,Quad,1,,,,,
1.705,Ball,1,,,,,
1.705,Shell,1,,,,,
1.705,LR,1,,,,,
1.706,PCA,0.707106781186548,,,,,
1.706,K's tau,0.586166471277843,,,,,
1.706,Winsor,1,,,,,
1.706,Quad,1,,,,,
1.706,Ball,1,,,,,
1.706,Shell,1,,,,,
1.706,LR,1,,,,,
1.707,PCA,0.707106781186548,,,,,
1.707,K's tau,0.585823081429408,,,,,
1.707,Winsor,1,,,,,
1.707,Quad,1,,,,,
1.707,Ball,1,,,,,
1.707,Shell,1,,,,,
1.707,LR,1,,,,,
1.708,PCA,0.707106781186548,,,,,
1.708,K's tau,0.585480093676815,,,,,
1.708,Winsor,1,,,,,
1.708,Quad,1,,,,,
1.708,Ball,1,,,,,
1.708,Shell,1,,,,,
1.708,LR,1,,,,,
1.709,PCA,0.707106781186548,,,,,
1.709,K's tau,0.585137507314219,,,,,
1.709,Winsor,1,,,,,
1.709,Quad,1,,,,,
1.709,Ball,1,,,,,
1.709,Shell,1,,,,,
1.709,LR,1,,,,,
1.71,PCA,0.707106781186548,,,,,
1.71,K's tau,0.584795321637427,,,,,
1.71,Winsor,1,,,,,
1.71,Quad,1,,,,,
1.71,Ball,1,,,,,
1.71,Shell,1,,,,,
1.71,LR,1,,,,,
1.711,PCA,0.707106781186548,,,,,
1.711,K's tau,0.584453535943893,,,,,
1.711,Winsor,1,,,,,
1.711,Quad,1,,,,,
1.711,Ball,1,,,,,
1.711,Shell,1,,,,,
1.711,LR,1,,,,,
1.712,PCA,0.707106781186548,,,,,
1.712,K's tau,0.58411214953271,,,,,
1.712,Winsor,1,,,,,
1.712,Quad,1,,,,,
1.712,Ball,1,,,,,
1.712,Shell,1,,,,,
1.712,LR,1,,,,,
1.713,PCA,0.707106781186548,,,,,
1.713,K's tau,0.583771161704612,,,,,
1.713,Winsor,1,,,,,
1.713,Quad,1,,,,,
1.713,Ball,1,,,,,
1.713,Shell,1,,,,,
1.713,LR,1,,,,,
1.714,PCA,0.707106781186548,,,,,
1.714,K's tau,0.58343057176196,,,,,
1.714,Winsor,1,,,,,
1.714,Quad,1,,,,,
1.714,Ball,1,,,,,
1.714,Shell,1,,,,,
1.714,LR,1,,,,,
1.715,PCA,0.707106781186548,,,,,
1.715,K's tau,0.583090379008746,,,,,
1.715,Winsor,1,,,,,
1.715,Quad,1,,,,,
1.715,Ball,1,,,,,
1.715,Shell,1,,,,,
1.715,LR,1,,,,,
1.716,PCA,0.707106781186548,,,,,
1.716,K's tau,0.582750582750583,,,,,
1.716,Winsor,1,,,,,
1.716,Quad,1,,,,,
1.716,Ball,1,,,,,
1.716,Shell,1,,,,,
1.716,LR,1,,,,,
1.717,PCA,0.707106781186548,,,,,
1.717,K's tau,0.5824111822947,,,,,
1.717,Winsor,1,,,,,
1.717,Quad,1,,,,,
1.717,Ball,1,,,,,
1.717,Shell,1,,,,,
1.717,LR,1,,,,,
1.718,PCA,0.707106781186548,,,,,
1.718,K's tau,0.582072176949942,,,,,
1.718,Winsor,1,,,,,
1.718,Quad,1,,,,,
1.718,Ball,1,,,,,
1.718,Shell,1,,,,,
1.718,LR,1,,,,,
1.719,PCA,0.707106781186548,,,,,
1.719,K's tau,0.58173356602676,,,,,
1.719,Winsor,1,,,,,
1.719,Quad,1,,,,,
1.719,Ball,1,,,,,
1.719,Shell,1,,,,,
1.719,LR,1,,,,,
1.72,PCA,0.707106781186548,,,,,
1.72,K's tau,0.581395348837209,,,,,
1.72,Winsor,1,,,,,
1.72,Quad,1,,,,,
1.72,Ball,1,,,,,
1.72,Shell,1,,,,,
1.72,LR,1,,,,,
1.721,PCA,0.707106781186548,,,,,
1.721,K's tau,0.581057524694945,,,,,
1.721,Winsor,1,,,,,
1.721,Quad,1,,,,,
1.721,Ball,1,,,,,
1.721,Shell,1,,,,,
1.721,LR,1,,,,,
1.722,PCA,0.707106781186548,,,,,
1.722,K's tau,0.580720092915215,,,,,
1.722,Winsor,1,,,,,
1.722,Quad,1,,,,,
1.722,Ball,1,,,,,
1.722,Shell,1,,,,,
1.722,LR,1,,,,,
1.723,PCA,0.707106781186548,,,,,
1.723,K's tau,0.580383052814858,,,,,
1.723,Winsor,1,,,,,
1.723,Quad,1,,,,,
1.723,Ball,1,,,,,
1.723,Shell,1,,,,,
1.723,LR,1,,,,,
1.724,PCA,0.707106781186548,,,,,
1.724,K's tau,0.580046403712297,,,,,
1.724,Winsor,1,,,,,
1.724,Quad,1,,,,,
1.724,Ball,1,,,,,
1.724,Shell,1,,,,,
1.724,LR,1,,,,,
1.725,PCA,0.707106781186548,,,,,
1.725,K's tau,0.579710144927536,,,,,
1.725,Winsor,1,,,,,
1.725,Quad,1,,,,,
1.725,Ball,1,,,,,
1.725,Shell,1,,,,,
1.725,LR,1,,,,,
1.726,PCA,0.707106781186548,,,,,
1.726,K's tau,0.579374275782155,,,,,
1.726,Winsor,1,,,,,
1.726,Quad,1,,,,,
1.726,Ball,1,,,,,
1.726,Shell,1,,,,,
1.726,LR,1,,,,,
1.727,PCA,0.707106781186548,,,,,
1.727,K's tau,0.579038795599305,,,,,
1.727,Winsor,1,,,,,
1.727,Quad,1,,,,,
1.727,Ball,1,,,,,
1.727,Shell,1,,,,,
1.727,LR,1,,,,,
1.728,PCA,0.707106781186548,,,,,
1.728,K's tau,0.578703703703704,,,,,
1.728,Winsor,1,,,,,
1.728,Quad,1,,,,,
1.728,Ball,1,,,,,
1.728,Shell,1,,,,,
1.728,LR,1,,,,,
1.729,PCA,0.707106781186548,,,,,
1.729,K's tau,0.578368999421631,,,,,
1.729,Winsor,1,,,,,
1.729,Quad,1,,,,,
1.729,Ball,1,,,,,
1.729,Shell,1,,,,,
1.729,LR,1,,,,,
1.73,PCA,0.707106781186548,,,,,
1.73,K's tau,0.578034682080925,,,,,
1.73,Winsor,1,,,,,
1.73,Quad,1,,,,,
1.73,Ball,1,,,,,
1.73,Shell,1,,,,,
1.73,LR,1,,,,,
1.731,PCA,0.707106781186548,,,,,
1.731,K's tau,0.577700751010976,,,,,
1.731,Winsor,1,,,,,
1.731,Quad,1,,,,,
1.731,Ball,1,,,,,
1.731,Shell,1,,,,,
1.731,LR,1,,,,,
1.732,PCA,0.707106781186548,,,,,
1.732,K's tau,0.577367205542725,,,,,
1.732,Winsor,1,,,,,
1.732,Quad,1,,,,,
1.732,Ball,1,,,,,
1.732,Shell,1,,,,,
1.732,LR,1,,,,,
1.733,PCA,0.707106781186548,,,,,
1.733,K's tau,0.577034045008656,,,,,
1.733,Winsor,1,,,,,
1.733,Quad,1,,,,,
1.733,Ball,1,,,,,
1.733,Shell,1,,,,,
1.733,LR,1,,,,,
1.734,PCA,0.707106781186548,,,,,
1.734,K's tau,0.576701268742791,,,,,
1.734,Winsor,1,,,,,
1.734,Quad,1,,,,,
1.734,Ball,1,,,,,
1.734,Shell,1,,,,,
1.734,LR,1,,,,,
1.735,PCA,0.707106781186548,,,,,
1.735,K's tau,0.576368876080692,,,,,
1.735,Winsor,1,,,,,
1.735,Quad,1,,,,,
1.735,Ball,1,,,,,
1.735,Shell,1,,,,,
1.735,LR,1,,,,,
1.736,PCA,0.707106781186548,,,,,
1.736,K's tau,0.576036866359447,,,,,
1.736,Winsor,1,,,,,
1.736,Quad,1,,,,,
1.736,Ball,1,,,,,
1.736,Shell,1,,,,,
1.736,LR,1,,,,,
1.737,PCA,0.707106781186548,,,,,
1.737,K's tau,0.575705238917674,,,,,
1.737,Winsor,1,,,,,
1.737,Quad,1,,,,,
1.737,Ball,1,,,,,
1.737,Shell,1,,,,,
1.737,LR,1,,,,,
1.738,PCA,0.707106781186548,,,,,
1.738,K's tau,0.575373993095512,,,,,
1.738,Winsor,1,,,,,
1.738,Quad,1,,,,,
1.738,Ball,1,,,,,
1.738,Shell,1,,,,,
1.738,LR,1,,,,,
1.739,PCA,0.707106781186548,,,,,
1.739,K's tau,0.575043128234618,,,,,
1.739,Winsor,1,,,,,
1.739,Quad,1,,,,,
1.739,Ball,1,,,,,
1.739,Shell,1,,,,,
1.739,LR,1,,,,,
1.74,PCA,0.707106781186548,,,,,
1.74,K's tau,0.574712643678161,,,,,
1.74,Winsor,1,,,,,
1.74,Quad,1,,,,,
1.74,Ball,1,,,,,
1.74,Shell,1,,,,,
1.74,LR,1,,,,,
1.741,PCA,0.707106781186548,,,,,
1.741,K's tau,0.574382538770821,,,,,
1.741,Winsor,1,,,,,
1.741,Quad,1,,,,,
1.741,Ball,1,,,,,
1.741,Shell,1,,,,,
1.741,LR,1,,,,,
1.742,PCA,0.707106781186548,,,,,
1.742,K's tau,0.574052812858783,,,,,
1.742,Winsor,1,,,,,
1.742,Quad,1,,,,,
1.742,Ball,1,,,,,
1.742,Shell,1,,,,,
1.742,LR,1,,,,,
1.743,PCA,0.707106781186548,,,,,
1.743,K's tau,0.57372346528973,,,,,
1.743,Winsor,1,,,,,
1.743,Quad,1,,,,,
1.743,Ball,1,,,,,
1.743,Shell,1,,,,,
1.743,LR,1,,,,,
1.744,PCA,0.707106781186548,,,,,
1.744,K's tau,0.573394495412844,,,,,
1.744,Winsor,1,,,,,
1.744,Quad,1,,,,,
1.744,Ball,1,,,,,
1.744,Shell,1,,,,,
1.744,LR,1,,,,,
1.745,PCA,0.707106781186548,,,,,
1.745,K's tau,0.573065902578797,,,,,
1.745,Winsor,1,,,,,
1.745,Quad,1,,,,,
1.745,Ball,1,,,,,
1.745,Shell,1,,,,,
1.745,LR,1,,,,,
1.746,PCA,0.707106781186548,,,,,
1.746,K's tau,0.572737686139748,,,,,
1.746,Winsor,1,,,,,
1.746,Quad,1,,,,,
1.746,Ball,1,,,,,
1.746,Shell,1,,,,,
1.746,LR,1,,,,,
1.747,PCA,0.707106781186548,,,,,
1.747,K's tau,0.572409845449342,,,,,
1.747,Winsor,1,,,,,
1.747,Quad,1,,,,,
1.747,Ball,1,,,,,
1.747,Shell,1,,,,,
1.747,LR,1,,,,,
1.748,PCA,0.707106781186548,,,,,
1.748,K's tau,0.5720823798627,,,,,
1.748,Winsor,1,,,,,
1.748,Quad,1,,,,,
1.748,Ball,1,,,,,
1.748,Shell,1,,,,,
1.748,LR,1,,,,,
1.749,PCA,0.707106781186548,,,,,
1.749,K's tau,0.571755288736421,,,,,
1.749,Winsor,1,,,,,
1.749,Quad,1,,,,,
1.749,Ball,1,,,,,
1.749,Shell,1,,,,,
1.749,LR,1,,,,,
1.75,PCA,0.707106781186548,,,,,
1.75,K's tau,0.571428571428571,,,,,
1.75,Winsor,1,,,,,
1.75,Quad,1,,,,,
1.75,Ball,1,,,,,
1.75,Shell,1,,,,,
1.75,LR,1,,,,,
1.751,PCA,0.707106781186548,,,,,
1.751,K's tau,0.571102227298686,,,,,
1.751,Winsor,1,,,,,
1.751,Quad,1,,,,,
1.751,Ball,1,,,,,
1.751,Shell,1,,,,,
1.751,LR,1,,,,,
1.752,PCA,0.707106781186548,,,,,
1.752,K's tau,0.570776255707763,,,,,
1.752,Winsor,1,,,,,
1.752,Quad,1,,,,,
1.752,Ball,1,,,,,
1.752,Shell,1,,,,,
1.752,LR,1,,,,,
1.753,PCA,0.707106781186548,,,,,
1.753,K's tau,0.570450656018254,,,,,
1.753,Winsor,1,,,,,
1.753,Quad,1,,,,,
1.753,Ball,1,,,,,
1.753,Shell,1,,,,,
1.753,LR,1,,,,,
1.754,PCA,0.707106781186548,,,,,
1.754,K's tau,0.570125427594071,,,,,
1.754,Winsor,1,,,,,
1.754,Quad,1,,,,,
1.754,Ball,1,,,,,
1.754,Shell,1,,,,,
1.754,LR,1,,,,,
1.755,PCA,0.707106781186548,,,,,
1.755,K's tau,0.56980056980057,,,,,
1.755,Winsor,1,,,,,
1.755,Quad,1,,,,,
1.755,Ball,1,,,,,
1.755,Shell,1,,,,,
1.755,LR,1,,,,,
1.756,PCA,0.707106781186548,,,,,
1.756,K's tau,0.569476082004556,,,,,
1.756,Winsor,1,,,,,
1.756,Quad,1,,,,,
1.756,Ball,1,,,,,
1.756,Shell,1,,,,,
1.756,LR,1,,,,,
1.757,PCA,0.707106781186548,,,,,
1.757,K's tau,0.569151963574274,,,,,
1.757,Winsor,1,,,,,
1.757,Quad,1,,,,,
1.757,Ball,1,,,,,
1.757,Shell,1,,,,,
1.757,LR,1,,,,,
1.758,PCA,0.707106781186548,,,,,
1.758,K's tau,0.568828213879408,,,,,
1.758,Winsor,1,,,,,
1.758,Quad,1,,,,,
1.758,Ball,1,,,,,
1.758,Shell,1,,,,,
1.758,LR,1,,,,,
1.759,PCA,0.707106781186548,,,,,
1.759,K's tau,0.568504832291074,,,,,
1.759,Winsor,1,,,,,
1.759,Quad,1,,,,,
1.759,Ball,1,,,,,
1.759,Shell,1,,,,,
1.759,LR,1,,,,,
1.76,PCA,0.707106781186548,,,,,
1.76,K's tau,0.568181818181818,,,,,
1.76,Winsor,1,,,,,
1.76,Quad,1,,,,,
1.76,Ball,1,,,,,
1.76,Shell,1,,,,,
1.76,LR,1,,,,,
1.761,PCA,0.707106781186548,,,,,
1.761,K's tau,0.56785917092561,,,,,
1.761,Winsor,1,,,,,
1.761,Quad,1,,,,,
1.761,Ball,1,,,,,
1.761,Shell,1,,,,,
1.761,LR,1,,,,,
1.762,PCA,0.707106781186548,,,,,
1.762,K's tau,0.567536889897843,,,,,
1.762,Winsor,1,,,,,
1.762,Quad,1,,,,,
1.762,Ball,1,,,,,
1.762,Shell,1,,,,,
1.762,LR,1,,,,,
1.763,PCA,0.707106781186548,,,,,
1.763,K's tau,0.567214974475326,,,,,
1.763,Winsor,1,,,,,
1.763,Quad,1,,,,,
1.763,Ball,1,,,,,
1.763,Shell,1,,,,,
1.763,LR,1,,,,,
1.764,PCA,0.707106781186548,,,,,
1.764,K's tau,0.566893424036281,,,,,
1.764,Winsor,1,,,,,
1.764,Quad,1,,,,,
1.764,Ball,1,,,,,
1.764,Shell,1,,,,,
1.764,LR,1,,,,,
1.765,PCA,0.707106781186548,,,,,
1.765,K's tau,0.56657223796034,,,,,
1.765,Winsor,1,,,,,
1.765,Quad,1,,,,,
1.765,Ball,1,,,,,
1.765,Shell,1,,,,,
1.765,LR,1,,,,,
1.766,PCA,0.707106781186548,,,,,
1.766,K's tau,0.566251415628539,,,,,
1.766,Winsor,1,,,,,
1.766,Quad,1,,,,,
1.766,Ball,1,,,,,
1.766,Shell,1,,,,,
1.766,LR,1,,,,,
1.767,PCA,0.707106781186548,,,,,
1.767,K's tau,0.565930956423316,,,,,
1.767,Winsor,1,,,,,
1.767,Quad,1,,,,,
1.767,Ball,1,,,,,
1.767,Shell,1,,,,,
1.767,LR,1,,,,,
1.768,PCA,0.707106781186548,,,,,
1.768,K's tau,0.565610859728507,,,,,
1.768,Winsor,1,,,,,
1.768,Quad,1,,,,,
1.768,Ball,1,,,,,
1.768,Shell,1,,,,,
1.768,LR,1,,,,,
1.769,PCA,0.707106781186548,,,,,
1.769,K's tau,0.565291124929339,,,,,
1.769,Winsor,1,,,,,
1.769,Quad,1,,,,,
1.769,Ball,1,,,,,
1.769,Shell,1,,,,,
1.769,LR,1,,,,,
1.77,PCA,0.707106781186548,,,,,
1.77,K's tau,0.564971751412429,,,,,
1.77,Winsor,1,,,,,
1.77,Quad,1,,,,,
1.77,Ball,1,,,,,
1.77,Shell,1,,,,,
1.77,LR,1,,,,,
1.771,PCA,0.707106781186548,,,,,
1.771,K's tau,0.564652738565782,,,,,
1.771,Winsor,1,,,,,
1.771,Quad,1,,,,,
1.771,Ball,1,,,,,
1.771,Shell,1,,,,,
1.771,LR,1,,,,,
1.772,PCA,0.707106781186548,,,,,
1.772,K's tau,0.564334085778781,,,,,
1.772,Winsor,1,,,,,
1.772,Quad,1,,,,,
1.772,Ball,1,,,,,
1.772,Shell,1,,,,,
1.772,LR,1,,,,,
1.773,PCA,0.707106781186548,,,,,
1.773,K's tau,0.564015792442188,,,,,
1.773,Winsor,1,,,,,
1.773,Quad,1,,,,,
1.773,Ball,1,,,,,
1.773,Shell,1,,,,,
1.773,LR,1,,,,,
1.774,PCA,0.707106781186548,,,,,
1.774,K's tau,0.56369785794814,,,,,
1.774,Winsor,1,,,,,
1.774,Quad,1,,,,,
1.774,Ball,1,,,,,
1.774,Shell,1,,,,,
1.774,LR,1,,,,,
1.775,PCA,0.707106781186548,,,,,
1.775,K's tau,0.563380281690141,,,,,
1.775,Winsor,1,,,,,
1.775,Quad,1,,,,,
1.775,Ball,1,,,,,
1.775,Shell,1,,,,,
1.775,LR,1,,,,,
1.776,PCA,0.707106781186548,,,,,
1.776,K's tau,0.563063063063063,,,,,
1.776,Winsor,1,,,,,
1.776,Quad,1,,,,,
1.776,Ball,1,,,,,
1.776,Shell,1,,,,,
1.776,LR,1,,,,,
1.777,PCA,0.707106781186548,,,,,
1.777,K's tau,0.56274620146314,,,,,
1.777,Winsor,1,,,,,
1.777,Quad,1,,,,,
1.777,Ball,1,,,,,
1.777,Shell,1,,,,,
1.777,LR,1,,,,,
1.778,PCA,0.707106781186548,,,,,
1.778,K's tau,0.562429696287964,,,,,
1.778,Winsor,1,,,,,
1.778,Quad,1,,,,,
1.778,Ball,1,,,,,
1.778,Shell,1,,,,,
1.778,LR,1,,,,,
1.779,PCA,0.707106781186548,,,,,
1.779,K's tau,0.562113546936481,,,,,
1.779,Winsor,1,,,,,
1.779,Quad,1,,,,,
1.779,Ball,1,,,,,
1.779,Shell,1,,,,,
1.779,LR,1,,,,,
1.78,PCA,0.707106781186548,,,,,
1.78,K's tau,0.561797752808989,,,,,
1.78,Winsor,1,,,,,
1.78,Quad,1,,,,,
1.78,Ball,1,,,,,
