r,Method,Weight,Definition,Threshold_values_schematic,Visualization_range,Threshold_display,Source_note
0.03,PCA,0.707106781186548,,,,,
0.03,K's tau,33.3333333333333,,,,,
0.03,Winsor,1,,,,,
0.03,Quad,1,,,,,
0.03,Ball,1,,,,,
0.03,Shell,0,,,,,
0.03,LR,1,,,,,
0.031,PCA,0.707106781186548,,,,,
0.031,K's tau,32.258064516129,,,,,
0.031,Winsor,1,,,,,
0.031,Quad,1,,,,,
0.031,Ball,1,,,,,
0.031,Shell,0,,,,,
0.031,LR,1,,,,,
0.032,PCA,0.707106781186548,,,,,
0.032,K's tau,31.25,,,,,
0.032,Winsor,1,,,,,
0.032,Quad,1,,,,,
0.032,Ball,1,,,,,
0.032,Shell,0,,,,,
0.032,LR,1,,,,,
0.033,PCA,0.707106781186548,,,,,
0.033,K's tau,30.3030303030303,,,,,
0.033,Winsor,1,,,,,
0.033,Quad,1,,,,,
0.033,Ball,1,,,,,
0.033,Shell,0,,,,,
0.033,LR,1,,,,,
0.034,PCA,0.707106781186548,,,,,
0.034,K's tau,29.4117647058824,,,,,
0.034,Winsor,1,,,,,
0.034,Quad,1,,,,,
0.034,Ball,1,,,,,
0.034,Shell,0,,,,,
0.034,LR,1,,,,,
0.035,PCA,0.707106781186548,,,,,
0.035,K's tau,28.5714285714286,,,,,
0.035,Winsor,1,,,,,
0.035,Quad,1,,,,,
0.035,Ball,1,,,,,
0.035,Shell,0,,,,,
0.035,LR,1,,,,,
0.036,PCA,0.707106781186548,,,,,
0.036,K's tau,27.7777777777778,,,,,
0.036,Winsor,1,,,,,
0.036,Quad,1,,,,,
0.036,Ball,1,,,,,
0.036,Shell,0,,,,,
0.036,LR,1,,,,,
0.037,PCA,0.707106781186548,,,,,
0.037,K's tau,27.027027027027,,,,,
0.037,Winsor,1,,,,,
0.037,Quad,1,,,,,
0.037,Ball,1,,,,,
0.037,Shell,0,,,,,
0.037,LR,1,,,,,
0.038,PCA,0.707106781186548,,,,,
0.038,K's tau,26.3157894736842,,,,,
0.038,Winsor,1,,,,,
0.038,Quad,1,,,,,
0.038,Ball,1,,,,,
0.038,Shell,0,,,,,
0.038,LR,1,,,,,
0.039,PCA,0.707106781186548,,,,,
0.039,K's tau,25.6410256410256,,,,,
0.039,Winsor,1,,,,,
0.039,Quad,1,,,,,
0.039,Ball,1,,,,,
0.039,Shell,0,,,,,
0.039,LR,1,,,,,
