SettingID,Panel,Cell,Gene,CellType,de_prob,DeFacLoc,BackgroundDropoutMid,InputDesign,MasterCell,MasterGene,Method,MethodLabel,Calibration,Alpha,PC,TimerScope,Threads,CodeVersion,MethodFileMD5,SimulationFileMD5,N,AnalysisGenesMin,AnalysisGenesMedian,AnalysisGenesMax,MeanRuntimeSec,SDRuntimeSec,SERuntimeSec,MedianRuntimeSec,Q25RuntimeSec,Q75RuntimeSec,MinRuntimeSec,MaxRuntimeSec,MedianFitSec,MedianScoreSec,MedianGeometrySec,MedianWeightSec,MedianScatterSec,MedianEigenSec,FigurePanel
2,gene_scaling,2000,1000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PCA,PCA,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,992,995,998,0.816,0.016431676725155,0.00734846922834952,0.814,0.805,0.817,0.801,0.843,0.810000000000001,0.00499999999999901,,,,,A_gene_scaling
2,gene_scaling,2000,1000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PcaGrid,PcaGrid,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,992,995,998,264.2148,4.63283862227037,2.0718684176366,265.752,260.765,267.936,258.014,268.607,265.745,0.00799999999998136,,,,,A_gene_scaling
2,gene_scaling,2000,1000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PcaHubert,PcaHubert,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,992,995,998,4.6204,0.24804495560281,0.11092907644076,4.596,4.502,4.857,4.281,4.866,4.591,0.00499999999999901,,,,,A_gene_scaling
2,gene_scaling,2000,1000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PCP,PCP,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,992,995,998,281.2558,13.3112603347692,5.95297659494811,277.516,276.557,278.382,269.585,304.239,277.511,0.00499999999999545,,,,,A_gene_scaling
2,gene_scaling,2000,1000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,K's tau,K's tau,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,992,995,998,0.7806,0.00350713558334953,0.00156843871413558,0.782,0.777000000000001,0.782,0.777000000000001,0.785,0.777000000000001,0.00500000000000078,0.247,0.137,0.284000000000001,0.109999999999999,A_gene_scaling
2,gene_scaling,2000,1000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Winsor,Winsor,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,992,995,998,1.0134,0.0238600083822284,0.0106705201372755,1.016,0.994,1.019,0.988999999999999,1.049,1.011,0.00499999999999901,0.249000000000001,0.356999999999999,0.288,0.114000000000001,A_gene_scaling
2,gene_scaling,2000,1000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Quad,Quad,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,992,995,998,1.0426,0.0741640074429639,0.0331671524252535,1.014,1.007,1.014,1.003,1.175,1.009,0.00500000000000078,0.25,0.356999999999999,0.289000000000002,0.111000000000001,A_gene_scaling
2,gene_scaling,2000,1000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Ball,Ball,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,992,995,998,0.9912,0.0127945300812495,0.00572188780036798,0.991,0.984,1.002,0.974,1.005,0.985999999999999,0.00500000000000078,0.248999999999999,0.337999999999999,0.289000000000002,0.111000000000001,A_gene_scaling
2,gene_scaling,2000,1000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Shell,Shell,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,992,995,998,1.0176,0.0247042506463968,0.0110480767557073,1.002,1,1.031,1,1.055,0.998000000000001,0.00499999999999901,0.248000000000001,0.361000000000001,0.287000000000001,0.109,A_gene_scaling
2,gene_scaling,2000,1000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,LR,LR,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,992,995,998,2.0864,0.0606489900987641,0.0271230529255097,2.102,2.042,2.102,2.015,2.171,2.097,0.00499999999999901,0.253,1.423,0.295,0.113000000000001,A_gene_scaling
3,shared_anchor,2000,2000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PCA,PCA,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,1988,1989,1992,4.3684,0.175232131756707,0.0783661916900394,4.323,4.242,4.403,4.22,4.654,4.313,0.00999999999999801,,,,,A_gene_scaling
3,shared_anchor,2000,2000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PcaGrid,PcaGrid,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,1988,1989,1992,532.9704,4.24335159985594,1.89768452594207,534.693,528.631,536.069,528.229,537.23,534.676,0.0169999999999391,,,,,A_gene_scaling
3,shared_anchor,2000,2000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PcaHubert,PcaHubert,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,1988,1989,1992,10.3452,0.504729333405539,0.225721819946588,10.457,10.003,10.618,9.686,10.962,10.447,0.00999999999999801,,,,,A_gene_scaling
3,shared_anchor,2000,2000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PCP,PCP,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,1988,1989,1992,1165.1886,51.123134428554,22.8629607610213,1168.508,1151.594,1171.467,1095.734,1238.64,1168.498,0.00999999999999091,,,,,A_gene_scaling
3,shared_anchor,2000,2000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,K's tau,K's tau,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,1988,1989,1992,2.535,0.122747708736253,0.0548944441633213,2.498,2.476,2.508,2.443,2.75,2.488,0.00999999999999801,0.818999999999999,0.612,0.788000000000002,0.255000000000003,A_gene_scaling
3,shared_anchor,2000,2000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Winsor,Winsor,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,1988,1989,1992,3.1578,0.0447068227455273,0.0199934989434066,3.178,3.137,3.19,3.089,3.195,3.169,0.00900000000000034,0.816999999999998,1.295,0.792,0.242999999999999,A_gene_scaling
3,shared_anchor,2000,2000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Quad,Quad,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,1988,1989,1992,3.1786,0.0234051276433178,0.0104670912865036,3.168,3.165,3.196,3.154,3.21,3.156,0.00900000000000034,0.823,1.311,0.792999999999999,0.248000000000001,A_gene_scaling
3,shared_anchor,2000,2000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Ball,Ball,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,1988,1989,1992,2.7664,0.133838708899929,0.0598544902242096,2.737,2.694,2.739,2.663,2.999,2.727,0.00999999999999801,0.808,0.85,0.801,0.253,A_gene_scaling
3,shared_anchor,2000,2000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Shell,Shell,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,1988,1989,1992,3.2256,0.0908971946761834,0.0406504612519956,3.19,3.174,3.213,3.166,3.385,3.174,0.00999999999999801,0.802000000000001,1.327,0.795000000000002,0.257999999999999,A_gene_scaling
3,shared_anchor,2000,2000,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,LR,LR,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,1988,1989,1992,2.825,0.0930994092355047,0.0416353215431321,2.825,2.736,2.903,2.729,2.932,2.815,0.0100000000000016,0.801,0.940000000000001,0.809999999999999,0.257999999999999,A_gene_scaling
