DatasetName,Replicate,Method,subspace_pc10_mean_cos,Group
Bhattacherjee,1,PcaGrid,0.331865733197656,Reference
Bhattacherjee,2,PcaGrid,0.249085077825598,Reference
Bhattacherjee,3,PcaGrid,0.262540242042664,Reference
Bhattacherjee,4,PcaGrid,0.308328109385413,Reference
Bhattacherjee,5,PcaGrid,0.214546186822552,Reference
Bhattacherjee,6,PcaGrid,0.40185667995254,Reference
Bhattacherjee,7,PcaGrid,0.216016251124043,Reference
Bhattacherjee,8,PcaGrid,0.258206551816175,Reference
Bhattacherjee,9,PcaGrid,0.273777501124171,Reference
Bhattacherjee,10,PcaGrid,0.317297273573833,Reference
Bhattacherjee,11,PcaGrid,0.314359739424761,Reference
Bhattacherjee,12,PcaGrid,0.387249272813105,Reference
Bhattacherjee,13,PcaGrid,0.32957385661022,Reference
Bhattacherjee,14,PcaGrid,0.23488698300294,Reference
Bhattacherjee,15,PcaGrid,0.255414900989077,Reference
Bhattacherjee,16,PcaGrid,0.320199947105049,Reference
Bhattacherjee,17,PcaGrid,0.429731461105605,Reference
Bhattacherjee,18,PcaGrid,0.315276730686917,Reference
Bhattacherjee,19,PcaGrid,0.314287614625306,Reference
Bhattacherjee,20,PcaGrid,0.330215033850142,Reference
Bhattacherjee,1,PcaHubert,0.957752484452977,Reference
Bhattacherjee,2,PcaHubert,0.895824678088077,Reference
Bhattacherjee,3,PcaHubert,0.945105304702998,Reference
Bhattacherjee,4,PcaHubert,0.945489274890976,Reference
Bhattacherjee,5,PcaHubert,0.932576161650575,Reference
Bhattacherjee,6,PcaHubert,0.959496683256493,Reference
Bhattacherjee,7,PcaHubert,0.940121758334983,Reference
Bhattacherjee,8,PcaHubert,0.94020894336362,Reference
Bhattacherjee,9,PcaHubert,0.934988159711018,Reference
Bhattacherjee,10,PcaHubert,0.958109292576684,Reference
Bhattacherjee,11,PcaHubert,0.937861548790723,Reference
Bhattacherjee,12,PcaHubert,0.941178155852017,Reference
Bhattacherjee,13,PcaHubert,0.94309830564284,Reference
Bhattacherjee,14,PcaHubert,0.936653384467702,Reference
Bhattacherjee,15,PcaHubert,0.943521878445966,Reference
Bhattacherjee,16,PcaHubert,0.933418585391455,Reference
Bhattacherjee,17,PcaHubert,0.94325506636302,Reference
Bhattacherjee,18,PcaHubert,0.934374735284205,Reference
Bhattacherjee,19,PcaHubert,0.896936973762799,Reference
Bhattacherjee,20,PcaHubert,0.936416499184949,Reference
Bhattacherjee,1,Quad,0.995325537670489,Proposed
Bhattacherjee,2,Quad,0.995168658246138,Proposed
Bhattacherjee,3,Quad,0.995112669345658,Proposed
Bhattacherjee,4,Quad,0.995212124623493,Proposed
Bhattacherjee,5,Quad,0.993009482267246,Proposed
Bhattacherjee,6,Quad,0.994221943845288,Proposed
Bhattacherjee,7,Quad,0.993211760904121,Proposed
Bhattacherjee,8,Quad,0.987790083134836,Proposed
Bhattacherjee,9,Quad,0.994798705736797,Proposed
Bhattacherjee,10,Quad,0.993688590981987,Proposed
Bhattacherjee,11,Quad,0.994884807716754,Proposed
