DatasetName,Method,Metric,Replicate,ClusterRep,ARI,Group,ObservationLevel,Figure6SummaryLevel,ResultStatus
Bhattacherjee,PCA,FULL vs labels,,7,0.258527245256594,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PCA,FULL vs labels,,8,0.256084649659056,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PCA,FULL vs labels,,9,0.250271729473585,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PCA,FULL vs labels,,10,0.245556027420158,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PCP,FULL vs labels,,1,0.25048823550977,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PCP,FULL vs labels,,2,0.220014932567644,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PCP,FULL vs labels,,3,0.213432123920596,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PCP,FULL vs labels,,4,0.231672343956594,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PCP,FULL vs labels,,5,0.227427499422794,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PCP,FULL vs labels,,6,0.229604757120644,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PCP,FULL vs labels,,7,0.227488858189056,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PCP,FULL vs labels,,8,0.208053707330693,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PCP,FULL vs labels,,9,0.221621428250011,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,PCP,FULL vs labels,,10,0.301919414987537,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
