Dataset,Panel,Outcome,ParamID,Condition,Method,Alpha,Baseline,Value,Delta,Replicates,dropout_mid,doublet_frac,cell_frac,gene_frac,meanlog,sdlog
Simulation 1,b,GMM NMI,8,doublet,Ball,0.1,0.890377961522837,0.931052416355631,0.040674454832794,10,,0.05,,,,
Simulation 1,b,GMM NMI,9,doublet,Ball,0.1,0.85980178575645,0.912056408295694,0.052254622539244,10,,0.08,,,,
Simulation 1,b,GMM NMI,10,doublet,Ball,0.1,0.812056442805248,0.915270195171773,0.103213752366525,10,,0.1,,,,
Simulation 1,b,GMM NMI,11,doublet,Ball,0.1,0.863415893261666,0.913147713054575,0.049731819792909,10,,0.15,,,,
Simulation 1,b,GMM NMI,12,shift,Ball,0.1,0.804215202552216,0.911130806940393,0.106915604388177,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,13,shift,Ball,0.1,0.786040324099928,0.904635910581594,0.118595586481666,10,,,0.04,0.1,2,0.3
Simulation 1,b,GMM NMI,14,shift,Ball,0.1,0.782998894917753,0.942349799143874,0.159350904226121,10,,,0.06,0.1,2,0.3
Simulation 1,b,GMM NMI,15,shift,Ball,0.1,0.78221098448862,0.904879152142314,0.122668167653694,10,,,0.08,0.1,2,0.3
Simulation 1,b,GMM NMI,16,shift,Ball,0.1,0.813055457660252,0.942693567183899,0.129638109523647,10,,,0.1,0.1,2,0.3
Simulation 1,b,GMM NMI,17,shift,Ball,0.1,0.795249097667878,0.892329832754529,0.0970807350866511,10,,,0.02,0.1,1.5,0.3
Simulation 1,b,GMM NMI,18,shift,Ball,0.1,0.804215202552216,0.911130806940393,0.106915604388177,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,19,shift,Ball,0.1,0.779276485177832,0.922834933703377,0.143558448525545,10,,,0.02,0.1,3,0.3
Simulation 1,b,GMM NMI,20,shift,Ball,0.1,0.769904681161042,0.915050409476229,0.145145728315187,10,,,0.02,0.1,4,0.3
Simulation 1,b,GMM NMI,21,shift,Ball,0.1,0.788402189090836,0.935461036608555,0.147058847517719,10,,,0.02,0.1,5,0.3
Simulation 1,b,GMM NMI,1,clean,Ball,0.2,0.808952004977522,0.954518697809933,0.145566692832411,10,,,,,,
Simulation 1,b,GMM NMI,2,dropout,Ball,0.2,0.736668957786071,0.990901899312468,0.254232941526397,10,-1,,,,,
Simulation 1,b,GMM NMI,3,dropout,Ball,0.2,0.808952004977522,0.954518697809933,0.145566692832411,10,0,,,,,
Simulation 1,b,GMM NMI,4,dropout,Ball,0.2,0.795748577678172,0.793569371080616,-0.00217920659755599,10,1,,,,,
Simulation 1,b,GMM NMI,5,dropout,Ball,0.2,0.574362918061721,0.558827951690547,-0.015534966371174,10,2,,,,,
Simulation 1,b,GMM NMI,6,dropout,Ball,0.2,0.129909966921621,0.136681348380388,0.00677138145876702,10,3,,,,,
Simulation 1,b,GMM NMI,7,doublet,Ball,0.2,0.822224823673976,0.939048171323162,0.116823347649186,10,,0.02,,,,
Simulation 1,b,GMM NMI,8,doublet,Ball,0.2,0.890377961522837,0.929592221109452,0.0392142595866151,10,,0.05,,,,
Simulation 1,b,GMM NMI,9,doublet,Ball,0.2,0.85980178575645,0.942108812345387,0.082307026588937,10,,0.08,,,,
Simulation 1,b,GMM NMI,10,doublet,Ball,0.2,0.812056442805248,0.930747959127585,0.118691516322337,10,,0.1,,,,
Simulation 1,b,GMM NMI,11,doublet,Ball,0.2,0.863415893261666,0.905782762146747,0.042366868885081,10,,0.15,,,,
Simulation 1,b,GMM NMI,12,shift,Ball,0.2,0.804215202552216,0.953705610494989,0.149490407942773,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,13,shift,Ball,0.2,0.786040324099928,0.953645618198621,0.167605294098693,10,,,0.04,0.1,2,0.3
Simulation 1,b,GMM NMI,14,shift,Ball,0.2,0.782998894917753,0.953428375690962,0.170429480773209,10,,,0.06,0.1,2,0.3
Simulation 1,b,GMM NMI,15,shift,Ball,0.2,0.78221098448862,0.953361843549871,0.171150859061251,10,,,0.08,0.1,2,0.3
Simulation 1,b,GMM NMI,16,shift,Ball,0.2,0.813055457660252,0.951832914083268,0.138777456423016,10,,,0.1,0.1,2,0.3
Simulation 1,b,GMM NMI,17,shift,Ball,0.2,0.795249097667878,0.953522667629447,0.158273569961569,10,,,0.02,0.1,1.5,0.3
Simulation 1,b,GMM NMI,18,shift,Ball,0.2,0.804215202552216,0.953705610494989,0.149490407942773,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,19,shift,Ball,0.2,0.779276485177832,0.95389467477213,0.174618189594298,10,,,0.02,0.1,3,0.3
Simulation 1,b,GMM NMI,20,shift,Ball,0.2,0.769904681161042,0.954045718589516,0.184141037428474,10,,,0.02,0.1,4,0.3
Simulation 1,b,GMM NMI,21,shift,Ball,0.2,0.788402189090836,0.953432480227297,0.165030291136461,10,,,0.02,0.1,5,0.3
Simulation 1,b,GMM NMI,1,clean,LR,0.1,0.757451453788175,0.854951494942465,0.09750004115429,10,,,,,,
Simulation 1,b,GMM NMI,2,dropout,LR,0.1,0.724858958852545,0.750333033393879,0.025474074541334,10,-1,,,,,
Simulation 1,b,GMM NMI,3,dropout,LR,0.1,0.757451453788175,0.854951494942465,0.09750004115429,10,0,,,,,
Simulation 1,b,GMM NMI,4,dropout,LR,0.1,0.793366749200841,0.805744337131447,0.012377587930606,10,1,,,,,
Simulation 1,b,GMM NMI,5,dropout,LR,0.1,0.568591254409441,0.566258651411982,-0.00233260299745908,10,2,,,,,
Simulation 1,b,GMM NMI,6,dropout,LR,0.1,0.0932369855641135,0.133096888862151,0.0398599032980375,10,3,,,,,
Simulation 1,b,GMM NMI,7,doublet,LR,0.1,0.767100939734311,0.849517629853151,0.08241669011884,10,,0.02,,,,
Simulation 1,b,GMM NMI,8,doublet,LR,0.1,0.786175340685352,0.866528355348332,0.0803530146629799,10,,0.05,,,,
Simulation 1,b,GMM NMI,9,doublet,LR,0.1,0.79798672056461,0.862324399450994,0.0643376788863841,10,,0.08,,,,
Simulation 1,b,GMM NMI,10,doublet,LR,0.1,0.807271517956824,0.859809881942045,0.0525383639852211,10,,0.1,,,,
Simulation 1,b,GMM NMI,11,doublet,LR,0.1,0.80523019138018,0.870115550167212,0.0648853587870319,10,,0.15,,,,
Simulation 1,b,GMM NMI,12,shift,LR,0.1,0.780069387205437,0.830327964300504,0.0502585770950671,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,13,shift,LR,0.1,0.761042375384993,0.846586967721224,0.085544592336231,10,,,0.04,0.1,2,0.3
Simulation 1,b,GMM NMI,14,shift,LR,0.1,0.786055661633804,0.831376280452443,0.045320618818639,10,,,0.06,0.1,2,0.3
Simulation 1,b,GMM NMI,15,shift,LR,0.1,0.739316889776243,0.829834312900392,0.090517423124149,10,,,0.08,0.1,2,0.3
Simulation 1,b,GMM NMI,16,shift,LR,0.1,0.763498048291354,0.830825963550251,0.0673279152588969,10,,,0.1,0.1,2,0.3
Simulation 1,b,GMM NMI,17,shift,LR,0.1,0.765577775013533,0.855663158398683,0.09008538338515,10,,,0.02,0.1,1.5,0.3
Simulation 1,b,GMM NMI,18,shift,LR,0.1,0.780069387205437,0.830327964300504,0.0502585770950671,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,19,shift,LR,0.1,0.767376304737958,0.829702992597597,0.062326687859639,10,,,0.02,0.1,3,0.3
Simulation 1,b,GMM NMI,20,shift,LR,0.1,0.754301707170677,0.855461358624662,0.101159651453985,10,,,0.02,0.1,4,0.3
Simulation 1,b,GMM NMI,21,shift,LR,0.1,0.789486167139582,0.821443003389432,0.03195683624985,10,,,0.02,0.1,5,0.3
Simulation 1,b,GMM NMI,1,clean,LR,0.2,0.757451453788175,0.926200005029578,0.168748551241403,10,,,,,,
Simulation 1,b,GMM NMI,2,dropout,LR,0.2,0.724858958852545,0.90304080648239,0.178181847629845,10,-1,,,,,
Simulation 1,b,GMM NMI,3,dropout,LR,0.2,0.757451453788175,0.926200005029578,0.168748551241403,10,0,,,,,
Simulation 1,b,GMM NMI,4,dropout,LR,0.2,0.793366749200841,0.794925802600784,0.001559053399943,10,1,,,,,
Simulation 1,b,GMM NMI,5,dropout,LR,0.2,0.568591254409441,0.571241794458662,0.00265054004922094,10,2,,,,,
Simulation 1,b,GMM NMI,6,dropout,LR,0.2,0.0932369855641135,0.204171715055933,0.11093472949182,10,3,,,,,
Simulation 1,b,GMM NMI,7,doublet,LR,0.2,0.767100939734311,0.923733486145363,0.156632546411052,10,,0.02,,,,
Simulation 1,b,GMM NMI,8,doublet,LR,0.2,0.786175340685352,0.936877858105225,0.150702517419873,10,,0.05,,,,
Simulation 1,b,GMM NMI,9,doublet,LR,0.2,0.79798672056461,0.935053124561454,0.137066403996844,10,,0.08,,,,
Simulation 1,b,GMM NMI,10,doublet,LR,0.2,0.807271517956824,0.927356942723202,0.120085424766378,10,,0.1,,,,
Simulation 1,b,GMM NMI,11,doublet,LR,0.2,0.80523019138018,0.901368999894539,0.096138808514359,10,,0.15,,,,
Simulation 1,b,GMM NMI,12,shift,LR,0.2,0.780069387205437,0.956383887324641,0.176314500119204,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,13,shift,LR,0.2,0.761042375384993,0.956019338823473,0.19497696343848,10,,,0.04,0.1,2,0.3
Simulation 1,b,GMM NMI,14,shift,LR,0.2,0.786055661633804,0.935160950330717,0.149105288696913,10,,,0.06,0.1,2,0.3
Simulation 1,b,GMM NMI,15,shift,LR,0.2,0.739316889776243,0.942954739013696,0.203637849237453,10,,,0.08,0.1,2,0.3
Simulation 1,b,GMM NMI,16,shift,LR,0.2,0.763498048291354,0.935093546980156,0.171595498688802,10,,,0.1,0.1,2,0.3
Simulation 1,b,GMM NMI,17,shift,LR,0.2,0.765577775013533,0.944244315041801,0.178666540028268,10,,,0.02,0.1,1.5,0.3
Simulation 1,b,GMM NMI,18,shift,LR,0.2,0.780069387205437,0.956383887324641,0.176314500119204,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,19,shift,LR,0.2,0.767376304737958,0.933358742582927,0.165982437844969,10,,,0.02,0.1,3,0.3
Simulation 1,b,GMM NMI,20,shift,LR,0.2,0.754301707170677,0.923031827760707,0.16873012059003,10,,,0.02,0.1,4,0.3
Simulation 1,b,GMM NMI,21,shift,LR,0.2,0.789486167139582,0.944467958684931,0.154981791545349,10,,,0.02,0.1,5,0.3
Simulation 1,b,GMM NMI,1,clean,Quad,0.1,0.71849668307799,0.717466046695222,-0.00103063638276801,10,,,,,,
Simulation 1,b,GMM NMI,2,dropout,Quad,0.1,0.691350330620777,0.715861531015748,0.024511200394971,10,-1,,,,,
Simulation 1,b,GMM NMI,3,dropout,Quad,0.1,0.71849668307799,0.717466046695222,-0.00103063638276801,10,0,,,,,
Simulation 1,b,GMM NMI,4,dropout,Quad,0.1,0.778497533951427,0.778478395414303,-1.91385371239861e-05,10,1,,,,,
Simulation 1,b,GMM NMI,5,dropout,Quad,0.1,0.562628668456809,0.573757929713936,0.011129261257127,10,2,,,,,
Simulation 1,b,GMM NMI,6,dropout,Quad,0.1,0.118177610134807,0.0992825239873266,-0.0188950861474804,10,3,,,,,
Simulation 1,b,GMM NMI,7,doublet,Quad,0.1,0.702887509842358,0.737715100947346,0.034827591104988,10,,0.02,,,,
Simulation 1,b,GMM NMI,8,doublet,Quad,0.1,0.736058922454057,0.744168686622127,0.00810976416806997,10,,0.05,,,,
Simulation 1,b,GMM NMI,9,doublet,Quad,0.1,0.73084953958204,0.752186072297473,0.021336532715433,10,,0.08,,,,
Simulation 1,b,GMM NMI,10,doublet,Quad,0.1,0.739814441053559,0.747749580874181,0.007935139820622,10,,0.1,,,,
Simulation 1,b,GMM NMI,11,doublet,Quad,0.1,0.746017491054592,0.798748436224777,0.052730945170185,10,,0.15,,,,
Simulation 1,b,GMM NMI,12,shift,Quad,0.1,0.705307940663544,0.730992510307322,0.0256845696437781,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,13,shift,Quad,0.1,0.718641244126545,0.730630036823329,0.0119887926967841,10,,,0.04,0.1,2,0.3
Simulation 1,b,GMM NMI,14,shift,Quad,0.1,0.733746412860737,0.725704651955285,-0.00804176090545206,10,,,0.06,0.1,2,0.3
Simulation 1,b,GMM NMI,15,shift,Quad,0.1,0.723805402282025,0.733597385503649,0.009791983221624,10,,,0.08,0.1,2,0.3
Simulation 1,b,GMM NMI,16,shift,Quad,0.1,0.709161920719092,0.728684820244823,0.0195228995257309,10,,,0.1,0.1,2,0.3
Simulation 1,b,GMM NMI,17,shift,Quad,0.1,0.716916422205665,0.711541231469083,-0.00537519073658199,10,,,0.02,0.1,1.5,0.3
Simulation 1,b,GMM NMI,18,shift,Quad,0.1,0.705307940663544,0.730992510307322,0.0256845696437781,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,19,shift,Quad,0.1,0.69707798127055,0.727999624027284,0.030921642756734,10,,,0.02,0.1,3,0.3
Simulation 1,b,GMM NMI,20,shift,Quad,0.1,0.730249460491822,0.707788894848784,-0.022460565643038,10,,,0.02,0.1,4,0.3
Simulation 1,b,GMM NMI,21,shift,Quad,0.1,0.711714387027308,0.704938400703806,-0.00677598632350207,10,,,0.02,0.1,5,0.3
Simulation 1,b,GMM NMI,1,clean,Quad,0.2,0.71849668307799,0.742812428116046,0.024315745038056,10,,,,,,
Simulation 1,b,GMM NMI,2,dropout,Quad,0.2,0.691350330620777,0.715648447825552,0.024298117204775,10,-1,,,,,
Simulation 1,b,GMM NMI,3,dropout,Quad,0.2,0.71849668307799,0.742812428116046,0.024315745038056,10,0,,,,,
Simulation 1,b,GMM NMI,4,dropout,Quad,0.2,0.778497533951427,0.792291182874673,0.0137936489232461,10,1,,,,,
Simulation 1,b,GMM NMI,5,dropout,Quad,0.2,0.562628668456809,0.574950539870415,0.012321871413606,10,2,,,,,
Simulation 1,b,GMM NMI,6,dropout,Quad,0.2,0.118177610134807,0.0764906888779856,-0.0416869212568214,10,3,,,,,
Simulation 1,b,GMM NMI,7,doublet,Quad,0.2,0.702887509842358,0.775287778808494,0.0724002689661359,10,,0.02,,,,
Simulation 1,b,GMM NMI,8,doublet,Quad,0.2,0.736058922454057,0.799784499883588,0.063725577429531,10,,0.05,,,,
Simulation 1,b,GMM NMI,9,doublet,Quad,0.2,0.73084953958204,0.778855828885872,0.048006289303832,10,,0.08,,,,
Simulation 1,b,GMM NMI,10,doublet,Quad,0.2,0.739814441053559,0.777175175164876,0.037360734111317,10,,0.1,,,,
Simulation 1,b,GMM NMI,11,doublet,Quad,0.2,0.746017491054592,0.817276201581698,0.071258710527106,10,,0.15,,,,
Simulation 1,b,GMM NMI,12,shift,Quad,0.2,0.705307940663544,0.712002149618272,0.00669420895472805,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,13,shift,Quad,0.2,0.718641244126545,0.716082042613002,-0.00255920151354294,10,,,0.04,0.1,2,0.3
Simulation 1,b,GMM NMI,14,shift,Quad,0.2,0.733746412860737,0.727131408537506,-0.00661500432323103,10,,,0.06,0.1,2,0.3
Simulation 1,b,GMM NMI,15,shift,Quad,0.2,0.723805402282025,0.745962866152231,0.022157463870206,10,,,0.08,0.1,2,0.3
Simulation 1,b,GMM NMI,16,shift,Quad,0.2,0.709161920719092,0.736897031873541,0.027735111154449,10,,,0.1,0.1,2,0.3
Simulation 1,b,GMM NMI,17,shift,Quad,0.2,0.716916422205665,0.729005028417241,0.012088606211576,10,,,0.02,0.1,1.5,0.3
Simulation 1,b,GMM NMI,18,shift,Quad,0.2,0.705307940663544,0.712002149618272,0.00669420895472805,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,19,shift,Quad,0.2,0.69707798127055,0.742336529800441,0.045258548529891,10,,,0.02,0.1,3,0.3
Simulation 1,b,GMM NMI,20,shift,Quad,0.2,0.730249460491822,0.743910982547612,0.01366152205579,10,,,0.02,0.1,4,0.3
Simulation 1,b,GMM NMI,21,shift,Quad,0.2,0.711714387027308,0.719871393433647,0.00815700640633899,10,,,0.02,0.1,5,0.3
Simulation 1,b,GMM NMI,1,clean,Shell,0.1,0.721438819157148,0.742134117988286,0.020695298831138,10,,,,,,
Simulation 1,b,GMM NMI,2,dropout,Shell,0.1,0.713155775441914,0.717923498245023,0.004767722803109,10,-1,,,,,
Simulation 1,b,GMM NMI,3,dropout,Shell,0.1,0.721438819157148,0.742134117988286,0.020695298831138,10,0,,,,,
Simulation 1,b,GMM NMI,4,dropout,Shell,0.1,0.748704669761096,0.748819627547595,0.000114957786499059,10,1,,,,,
Simulation 1,b,GMM NMI,5,dropout,Shell,0.1,0.564768323642233,0.563293359928607,-0.00147496371362599,10,2,,,,,
Simulation 1,b,GMM NMI,6,dropout,Shell,0.1,0.0667352074132082,0.0534582059389495,-0.0132770014742587,10,3,,,,,
Simulation 1,b,GMM NMI,7,doublet,Shell,0.1,0.731966803360013,0.728266147251708,-0.00370065610830495,10,,0.02,,,,
Simulation 1,b,GMM NMI,8,doublet,Shell,0.1,0.735377149328547,0.738509567962307,0.00313241863376001,10,,0.05,,,,
Simulation 1,b,GMM NMI,9,doublet,Shell,0.1,0.745261247187498,0.78165373824266,0.0363924910551621,10,,0.08,,,,
Simulation 1,b,GMM NMI,10,doublet,Shell,0.1,0.720206899728241,0.730239416859128,0.0100325171308869,10,,0.1,,,,
Simulation 1,b,GMM NMI,11,doublet,Shell,0.1,0.789287877535075,0.861056350133343,0.071768472598268,10,,0.15,,,,
Simulation 1,b,GMM NMI,12,shift,Shell,0.1,0.697998371587807,0.73565327318734,0.037654901599533,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,13,shift,Shell,0.1,0.713541983046174,0.732831671366407,0.019289688320233,10,,,0.04,0.1,2,0.3
Simulation 1,b,GMM NMI,14,shift,Shell,0.1,0.707492997772464,0.714941217320772,0.00744821954830799,10,,,0.06,0.1,2,0.3
Simulation 1,b,GMM NMI,15,shift,Shell,0.1,0.697932231763736,0.748274291011724,0.0503420592479881,10,,,0.08,0.1,2,0.3
Simulation 1,b,GMM NMI,16,shift,Shell,0.1,0.712573604959778,0.71757663454173,0.00500302958195209,10,,,0.1,0.1,2,0.3
Simulation 1,b,GMM NMI,17,shift,Shell,0.1,0.70958125610001,0.731948131745882,0.022366875645872,10,,,0.02,0.1,1.5,0.3
Simulation 1,b,GMM NMI,18,shift,Shell,0.1,0.697998371587807,0.73565327318734,0.037654901599533,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,19,shift,Shell,0.1,0.691941819566874,0.716274986858057,0.0243331672911831,10,,,0.02,0.1,3,0.3
Simulation 1,b,GMM NMI,20,shift,Shell,0.1,0.699469073102458,0.709069570051762,0.00960049694930398,10,,,0.02,0.1,4,0.3
Simulation 1,b,GMM NMI,21,shift,Shell,0.1,0.729829828976418,0.708151266101021,-0.021678562875397,10,,,0.02,0.1,5,0.3
Simulation 1,b,GMM NMI,1,clean,Shell,0.2,0.721438819157148,0.719019371174482,-0.00241944798266602,10,,,,,,
Simulation 1,b,GMM NMI,2,dropout,Shell,0.2,0.713155775441914,0.712680772447,-0.000475002994913987,10,-1,,,,,
Simulation 1,b,GMM NMI,3,dropout,Shell,0.2,0.721438819157148,0.719019371174482,-0.00241944798266602,10,0,,,,,
Simulation 1,b,GMM NMI,4,dropout,Shell,0.2,0.748704669761096,0.732781672325945,-0.0159229974351509,10,1,,,,,
Simulation 1,b,GMM NMI,5,dropout,Shell,0.2,0.564768323642233,0.554757592285686,-0.010010731356547,10,2,,,,,
Simulation 1,b,GMM NMI,6,dropout,Shell,0.2,0.0667352074132082,0.0529011689873833,-0.0138340384258249,10,3,,,,,
Simulation 1,b,GMM NMI,7,doublet,Shell,0.2,0.731966803360013,0.728423829092562,-0.00354297426745098,10,,0.02,,,,
Simulation 1,b,GMM NMI,8,doublet,Shell,0.2,0.735377149328547,0.782571061581263,0.047193912252716,10,,0.05,,,,
Simulation 1,b,GMM NMI,9,doublet,Shell,0.2,0.745261247187498,0.854035455058921,0.108774207871423,10,,0.08,,,,
Simulation 1,b,GMM NMI,10,doublet,Shell,0.2,0.720206899728241,0.842818018862021,0.12261111913378,10,,0.1,,,,
Simulation 1,b,GMM NMI,11,doublet,Shell,0.2,0.789287877535075,0.822262190234234,0.032974312699159,10,,0.15,,,,
Simulation 1,b,GMM NMI,12,shift,Shell,0.2,0.697998371587807,0.707552562038625,0.00955419045081807,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,13,shift,Shell,0.2,0.713541983046174,0.735473936482569,0.021931953436395,10,,,0.04,0.1,2,0.3
Simulation 1,b,GMM NMI,14,shift,Shell,0.2,0.707492997772464,0.734812844360026,0.027319846587562,10,,,0.06,0.1,2,0.3
Simulation 1,b,GMM NMI,15,shift,Shell,0.2,0.697932231763736,0.72082415879008,0.022891927026344,10,,,0.08,0.1,2,0.3
Simulation 1,b,GMM NMI,16,shift,Shell,0.2,0.712573604959778,0.715730768126116,0.00315716316633807,10,,,0.1,0.1,2,0.3
Simulation 1,b,GMM NMI,17,shift,Shell,0.2,0.70958125610001,0.707886839348924,-0.00169441675108595,10,,,0.02,0.1,1.5,0.3
Simulation 1,b,GMM NMI,18,shift,Shell,0.2,0.697998371587807,0.707552562038625,0.00955419045081807,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,19,shift,Shell,0.2,0.691941819566874,0.728151738445859,0.0362099188789851,10,,,0.02,0.1,3,0.3
Simulation 1,b,GMM NMI,20,shift,Shell,0.2,0.699469073102458,0.733433264777576,0.033964191675118,10,,,0.02,0.1,4,0.3
Simulation 1,b,GMM NMI,21,shift,Shell,0.2,0.729829828976418,0.726154350170902,-0.003675478805516,10,,,0.02,0.1,5,0.3
Simulation 1,b,GMM NMI,1,clean,Winsor,0.1,0.7014444688367,0.724061325145876,0.022616856309176,10,,,,,,
Simulation 1,b,GMM NMI,2,dropout,Winsor,0.1,0.70900830589814,0.708582880915415,-0.00042542498272502,10,-1,,,,,
Simulation 1,b,GMM NMI,3,dropout,Winsor,0.1,0.7014444688367,0.724061325145876,0.022616856309176,10,0,,,,,
Simulation 1,b,GMM NMI,4,dropout,Winsor,0.1,0.771470943442592,0.771306411863689,-0.00016453157890306,10,1,,,,,
Simulation 1,b,GMM NMI,5,dropout,Winsor,0.1,0.567480554438647,0.567161214881386,-0.000319339557260934,10,2,,,,,
Simulation 1,b,GMM NMI,6,dropout,Winsor,0.1,0.108346124912701,0.0951653522981531,-0.0131807726145479,10,3,,,,,
Simulation 1,b,GMM NMI,7,doublet,Winsor,0.1,0.707129198995071,0.714059676860689,0.00693047786561807,10,,0.02,,,,
Simulation 1,b,GMM NMI,8,doublet,Winsor,0.1,0.736897846253117,0.731259369500794,-0.0056384767523231,10,,0.05,,,,
Simulation 1,b,GMM NMI,9,doublet,Winsor,0.1,0.741060840899564,0.736037223881861,-0.00502361701770304,10,,0.08,,,,
Simulation 1,b,GMM NMI,10,doublet,Winsor,0.1,0.730424803021899,0.745804809157018,0.0153800061351189,10,,0.1,,,,
Simulation 1,b,GMM NMI,11,doublet,Winsor,0.1,0.741648932808943,0.78088493320426,0.0392360003953171,10,,0.15,,,,
Simulation 1,b,GMM NMI,12,shift,Winsor,0.1,0.706176621870056,0.702862319760575,-0.00331430210948103,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,13,shift,Winsor,0.1,0.703267010213773,0.687656840311854,-0.015610169901919,10,,,0.04,0.1,2,0.3
Simulation 1,b,GMM NMI,14,shift,Winsor,0.1,0.70737228352518,0.700199741111093,-0.00717254241408705,10,,,0.06,0.1,2,0.3
Simulation 1,b,GMM NMI,15,shift,Winsor,0.1,0.701072676667071,0.721237008096751,0.02016433142968,10,,,0.08,0.1,2,0.3
Simulation 1,b,GMM NMI,16,shift,Winsor,0.1,0.706275242702243,0.70094771922233,-0.00532752347991294,10,,,0.1,0.1,2,0.3
Simulation 1,b,GMM NMI,17,shift,Winsor,0.1,0.705867161300055,0.706431381083959,0.000564219783903974,10,,,0.02,0.1,1.5,0.3
Simulation 1,b,GMM NMI,18,shift,Winsor,0.1,0.706176621870056,0.702862319760575,-0.00331430210948103,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,19,shift,Winsor,0.1,0.693223684963983,0.728449857958157,0.035226172994174,10,,,0.02,0.1,3,0.3
Simulation 1,b,GMM NMI,20,shift,Winsor,0.1,0.700563936419255,0.695843406730454,-0.00472052968880099,10,,,0.02,0.1,4,0.3
Simulation 1,b,GMM NMI,21,shift,Winsor,0.1,0.697460963229592,0.692797855253202,-0.00466310797638991,10,,,0.02,0.1,5,0.3
Simulation 1,b,GMM NMI,1,clean,Winsor,0.2,0.7014444688367,0.716990171314883,0.015545702478183,10,,,,,,
Simulation 1,b,GMM NMI,2,dropout,Winsor,0.2,0.70900830589814,0.690444642319601,-0.018563663578539,10,-1,,,,,
Simulation 1,b,GMM NMI,3,dropout,Winsor,0.2,0.7014444688367,0.716990171314883,0.015545702478183,10,0,,,,,
Simulation 1,b,GMM NMI,4,dropout,Winsor,0.2,0.771470943442592,0.774393507984718,0.00292256454212592,10,1,,,,,
Simulation 1,b,GMM NMI,5,dropout,Winsor,0.2,0.567480554438647,0.569041454629435,0.00156090019078803,10,2,,,,,
Simulation 1,b,GMM NMI,6,dropout,Winsor,0.2,0.108346124912701,0.0715269088976897,-0.0368192160150113,10,3,,,,,
Simulation 1,b,GMM NMI,7,doublet,Winsor,0.2,0.707129198995071,0.730039697814547,0.022910498819476,10,,0.02,,,,
Simulation 1,b,GMM NMI,8,doublet,Winsor,0.2,0.736897846253117,0.746201528692807,0.00930368243968993,10,,0.05,,,,
Simulation 1,b,GMM NMI,9,doublet,Winsor,0.2,0.741060840899564,0.74432368296741,0.00326284206784599,10,,0.08,,,,
Simulation 1,b,GMM NMI,10,doublet,Winsor,0.2,0.730424803021899,0.754591365364083,0.024166562342184,10,,0.1,,,,
Simulation 1,b,GMM NMI,11,doublet,Winsor,0.2,0.741648932808943,0.760264792456158,0.018615859647215,10,,0.15,,,,
Simulation 1,b,GMM NMI,12,shift,Winsor,0.2,0.706176621870056,0.732584477237893,0.026407855367837,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,13,shift,Winsor,0.2,0.703267010213773,0.708733180280118,0.00546617006634498,10,,,0.04,0.1,2,0.3
Simulation 1,b,GMM NMI,14,shift,Winsor,0.2,0.70737228352518,0.714793530438087,0.00742124691290702,10,,,0.06,0.1,2,0.3
Simulation 1,b,GMM NMI,15,shift,Winsor,0.2,0.701072676667071,0.700686469489409,-0.000386207177661913,10,,,0.08,0.1,2,0.3
Simulation 1,b,GMM NMI,16,shift,Winsor,0.2,0.706275242702243,0.722608631672027,0.0163333889697841,10,,,0.1,0.1,2,0.3
Simulation 1,b,GMM NMI,17,shift,Winsor,0.2,0.705867161300055,0.751228280972754,0.045361119672699,10,,,0.02,0.1,1.5,0.3
Simulation 1,b,GMM NMI,18,shift,Winsor,0.2,0.706176621870056,0.732584477237893,0.026407855367837,10,,,0.02,0.1,2,0.3
Simulation 1,b,GMM NMI,19,shift,Winsor,0.2,0.693223684963983,0.717107666678671,0.023883981714688,10,,,0.02,0.1,3,0.3
Simulation 1,b,GMM NMI,20,shift,Winsor,0.2,0.700563936419255,0.712592708452119,0.012028772032864,10,,,0.02,0.1,4,0.3
Simulation 1,b,GMM NMI,21,shift,Winsor,0.2,0.697460963229592,0.696820526366116,-0.000640436863475924,10,,,0.02,0.1,5,0.3
Simulation 1,c,Louvain ARI,1,clean,Ball,0.1,0.965907467344949,0.965317043557762,-0.000590423787186989,10,,,,,,
