ParamID,Replicate,Method,PC,ARI,Group
1,1,Ball,PC10,0.662968482601843,Proposed
1,1,Ball,PC20,0.729224857828798,Proposed
1,1,K's tau,PC10,0.632874581584657,Reference
1,1,K's tau,PC20,0.65691541958642,Reference
1,1,LR,PC10,0.697839091778134,Proposed
1,1,LR,PC20,0.617389483800268,Proposed
1,1,PCA,PC10,0.533360795949006,Reference
1,1,PCA,PC20,0.63288257484955,Reference
1,1,PCP,PC10,0.98456843280416,Reference
1,1,PCP,PC20,0.516802141789483,Reference
1,1,PcaGrid,PC10,0.0021408778703118,Reference
1,1,PcaGrid,PC20,-3.54024082936494e-05,Reference
1,1,PcaHubert,PC10,0.73269917635565,Reference
1,1,PcaHubert,PC20,0.640802971440202,Reference
1,1,Quad,PC10,0.660871299556971,Proposed
1,1,Quad,PC20,0.556757368492847,Proposed
1,1,Shell,PC10,0.535988166865264,Proposed
1,1,Shell,PC20,0.587335442233569,Proposed
1,1,Winsor,PC10,0.648323568827025,Proposed
1,1,Winsor,PC20,0.620783528873109,Proposed
1,2,Ball,PC10,0.652418765375392,Proposed
1,2,Ball,PC20,0.725105910958899,Proposed
1,2,K's tau,PC10,0.747776730431087,Reference
1,2,K's tau,PC20,0.734797508846041,Reference
1,2,LR,PC10,0.739325630060522,Proposed
1,2,LR,PC20,0.73555235392468,Proposed
1,2,PCA,PC10,0.711805220610152,Reference
1,2,PCA,PC20,0.709384148309555,Reference
1,2,PCP,PC10,0.992031785680697,Reference
1,2,PCP,PC20,0.60914422520273,Reference
1,2,PcaGrid,PC10,-0.00360892631316822,Reference
1,2,PcaGrid,PC20,0.0137197186168553,Reference
1,2,PcaHubert,PC10,0.721291237100303,Reference
1,2,PcaHubert,PC20,0.746729481798394,Reference
1,2,Quad,PC10,0.656722059587068,Proposed
1,2,Quad,PC20,0.700557068180357,Proposed
1,2,Shell,PC10,0.726418575925279,Proposed
1,2,Shell,PC20,0.643153453128318,Proposed
1,2,Winsor,PC10,0.74329076405784,Proposed
1,2,Winsor,PC20,0.660365794558356,Proposed
1,3,Ball,PC10,0.838484764875521,Proposed
1,3,Ball,PC20,0.615557103193817,Proposed
1,3,K's tau,PC10,0.784703844200617,Reference
1,3,K's tau,PC20,0.850988773056212,Reference
1,3,LR,PC10,0.772172292182533,Proposed
