BaseID,Replicate,ParamID,Condition,dropout_mid,doublet_frac,cell_frac,meanlog,Method,PC,AbsoluteCosine
1,1,2,dropout,-1,,,,PCP,10,0.0136305597957559
1,1,2,dropout,-1,,,,PCP,11,0.009331002454094
1,1,2,dropout,-1,,,,PCP,12,0.0664818193245994
1,1,2,dropout,-1,,,,PCP,13,0.00520253870040846
1,1,2,dropout,-1,,,,PCP,14,0.0417822679850877
1,1,2,dropout,-1,,,,PCP,15,0.00620901008139096
1,1,2,dropout,-1,,,,PCP,16,0.0407397076754137
1,1,2,dropout,-1,,,,PCP,17,0.00544333728302916
1,1,2,dropout,-1,,,,PCP,18,0.0910153052902998
1,1,2,dropout,-1,,,,PCP,19,0.0737408718378947
1,1,2,dropout,-1,,,,PCP,20,0.012256286776738
1,1,2,dropout,-1,,,,PcaGrid,1,0.00200053462750121
1,1,2,dropout,-1,,,,PcaGrid,2,0.00661970250282731
1,1,2,dropout,-1,,,,PcaGrid,3,0.0205020855511106
1,1,2,dropout,-1,,,,PcaGrid,4,6.1224068629276e-05
1,1,2,dropout,-1,,,,PcaGrid,5,4.644682512471e-05
1,1,2,dropout,-1,,,,PcaGrid,6,0.000142509852208192
1,1,2,dropout,-1,,,,PcaGrid,7,0.000404031849187446
1,1,2,dropout,-1,,,,PcaGrid,8,0.00173089926243032
1,1,2,dropout,-1,,,,PcaGrid,9,2.21191899308807e-06
1,1,2,dropout,-1,,,,PcaGrid,10,9.71785898401036e-06
1,1,2,dropout,-1,,,,PcaGrid,11,0.00105270655956369
1,1,2,dropout,-1,,,,PcaGrid,12,0.000442949030322391
1,1,2,dropout,-1,,,,PcaGrid,13,0.000581740104975063
1,1,2,dropout,-1,,,,PcaGrid,14,0.00106560975528112
1,1,2,dropout,-1,,,,PcaGrid,15,2.08356332934536e-05
1,1,2,dropout,-1,,,,PcaGrid,16,0.00170593698576846
1,1,2,dropout,-1,,,,PcaGrid,17,0.00757918074566728
1,1,2,dropout,-1,,,,PcaGrid,18,9.26436562735273e-05
1,1,2,dropout,-1,,,,PcaGrid,19,3.79865352570684e-05
1,1,2,dropout,-1,,,,PcaGrid,20,0.000118358541772311
1,1,2,dropout,-1,,,,PcaHubert,1,0.293319081944914
1,1,2,dropout,-1,,,,PcaHubert,2,0.289930172560675
1,1,2,dropout,-1,,,,PcaHubert,3,0.713486045751644
1,1,2,dropout,-1,,,,PcaHubert,4,0.77341704320139
1,1,2,dropout,-1,,,,PcaHubert,5,0.0288653748173305
1,1,2,dropout,-1,,,,PcaHubert,6,0.0348161767368753
1,1,2,dropout,-1,,,,PcaHubert,7,0.0248904831824996
1,1,2,dropout,-1,,,,PcaHubert,8,0.0284791745184464
1,1,2,dropout,-1,,,,PcaHubert,9,0.0312414928458525
1,1,2,dropout,-1,,,,PcaHubert,10,0.134269133602158
1,1,2,dropout,-1,,,,PcaHubert,11,0.00978888204066844
1,1,2,dropout,-1,,,,PcaHubert,12,0.0853231090924313
1,1,2,dropout,-1,,,,PcaHubert,13,0.01315156870479
1,1,2,dropout,-1,,,,PcaHubert,14,0.0218408037669068
1,1,2,dropout,-1,,,,PcaHubert,15,0.00934448773913861
1,1,2,dropout,-1,,,,PcaHubert,16,0.0101670985655308
1,1,2,dropout,-1,,,,PcaHubert,17,0.00903010013190668
1,1,2,dropout,-1,,,,PcaHubert,18,0.000336478525574247
1,1,2,dropout,-1,,,,PcaHubert,19,0.0227314702212907
