Metric,PerturbationCondition,Level,Method,Mean,SD,N
ARI,Doublet fraction,8%,PcaGrid,0.00384881321404754,0.00496248064337899,10
ARI,Doublet fraction,8%,PcaHubert,0.939977040516049,0.0260911561213692,10
ARI,Doublet fraction,8%,PCP,0.958610004725923,0.0216609442345968,10
ARI,Doublet fraction,8%,K's tau,0.961010594187996,0.0157557934936604,10
ARI,Doublet fraction,8%,Winsor,0.95874158413934,0.0150392194759093,10
ARI,Doublet fraction,8%,Quad,0.960113415012955,0.0145936781474102,10
ARI,Doublet fraction,8%,Ball,0.957146389003153,0.0164757966547346,10
ARI,Doublet fraction,8%,Shell,0.956545181443392,0.0154967391368236,10
ARI,Doublet fraction,8%,LR,0.95994474070724,0.0153495696824642,10
ARI,Doublet fraction,10%,PCA,0.951971597333099,0.0170346894463765,10
ARI,Doublet fraction,10%,PcaGrid,0.00106118139845106,0.00194991677206355,10
ARI,Doublet fraction,10%,PcaHubert,0.942613064128225,0.0252078816624427,10
ARI,Doublet fraction,10%,PCP,0.959509988938073,0.0190904132618803,10
ARI,Doublet fraction,10%,K's tau,0.95527128563123,0.0184785810696523,10
ARI,Doublet fraction,10%,Winsor,0.955973179042172,0.0162382014822374,10
ARI,Doublet fraction,10%,Quad,0.957215713623649,0.0154376109021996,10
ARI,Doublet fraction,10%,Ball,0.957116225878372,0.0170282859426551,10
ARI,Doublet fraction,10%,Shell,0.956430962756539,0.0147194685908307,10
ARI,Doublet fraction,10%,LR,0.959334284886355,0.0168535904363984,10
ARI,Doublet fraction,15%,PCA,0.950874879222906,0.0174110470722273,10
ARI,Doublet fraction,15%,PcaGrid,0.0020923483181362,0.00307557984095264,10
ARI,Doublet fraction,15%,PcaHubert,0.93399327698178,0.0296146069417435,10
ARI,Doublet fraction,15%,PCP,0.958144665878877,0.0189856938562029,10
ARI,Doublet fraction,15%,K's tau,0.95102148318847,0.016623160306296,10
ARI,Doublet fraction,15%,Winsor,0.952004503468919,0.0175499262117301,10
ARI,Doublet fraction,15%,Quad,0.951337069159756,0.0182461210002188,10
ARI,Doublet fraction,15%,Ball,0.955374953399638,0.0168201902903159,10
ARI,Doublet fraction,15%,Shell,0.950888819705687,0.0179907899053478,10
ARI,Doublet fraction,15%,LR,0.952223907336048,0.0181554609141443,10
ARI,Shifted-cell fraction,2%,PCA,0.961176969437904,0.0146548429854013,10
ARI,Shifted-cell fraction,2%,PcaGrid,0.00284776244280588,0.00329436180298834,10
ARI,Shifted-cell fraction,2%,PcaHubert,0.946204602908062,0.0300822382826783,10
ARI,Shifted-cell fraction,2%,PCP,0.949926432346625,0.0537962636800763,10
ARI,Shifted-cell fraction,2%,K's tau,0.966395266925559,0.0131865946727005,10
ARI,Shifted-cell fraction,2%,Winsor,0.965405037996813,0.0156653297200026,10
ARI,Shifted-cell fraction,2%,Quad,0.963522223124956,0.0154707307493168,10
ARI,Shifted-cell fraction,2%,Ball,0.967249964303784,0.013798784220603,10
ARI,Shifted-cell fraction,2%,Shell,0.9654958797639,0.0154339684989471,10
ARI,Shifted-cell fraction,2%,LR,0.964094104236016,0.0157113064962871,10
ARI,Shifted-cell fraction,4%,PCA,0.962497444648286,0.012938584106355,10
ARI,Shifted-cell fraction,4%,PcaGrid,0.00299821721303816,0.00248361135487024,10
ARI,Shifted-cell fraction,4%,PcaHubert,0.944329160058663,0.0308626608621282,10
ARI,Shifted-cell fraction,4%,PCP,0.946495502475874,0.0580749677972445,10
ARI,Shifted-cell fraction,4%,K's tau,0.966735647785754,0.012513057207774,10
ARI,Shifted-cell fraction,4%,Winsor,0.96227880376406,0.0159216803270781,10
ARI,Shifted-cell fraction,4%,Quad,0.964001294705006,0.0146024330613137,10
ARI,Shifted-cell fraction,4%,Ball,0.963550646234861,0.0141913886991769,10
ARI,Shifted-cell fraction,4%,Shell,0.964496970115444,0.0145461510176359,10
ARI,Shifted-cell fraction,4%,LR,0.964111371576304,0.0149500625103073,10
ARI,Shifted-cell fraction,6%,PCA,0.963916886158096,0.0121325760361196,10
ARI,Shifted-cell fraction,6%,PcaGrid,0.00128490872583837,0.00151250825848331,10
ARI,Shifted-cell fraction,6%,PcaHubert,0.943761430364721,0.0303187139840924,10
ARI,Shifted-cell fraction,6%,PCP,0.960319520264698,0.022307337056542,10
ARI,Shifted-cell fraction,6%,K's tau,0.964998250401886,0.0130709538984369,10
ARI,Shifted-cell fraction,6%,Winsor,0.964011940016581,0.0145673924955864,10
ARI,Shifted-cell fraction,6%,Quad,0.964027139832166,0.0148162268427368,10
ARI,Shifted-cell fraction,6%,Ball,0.962076798653917,0.0150348085316839,10
ARI,Shifted-cell fraction,6%,Shell,0.963020401155116,0.0131870923651556,10
ARI,Shifted-cell fraction,6%,LR,0.963450761266693,0.0156983763588533,10
ARI,Shifted-cell fraction,8%,PCA,0.963220489722179,0.0136125417221954,10
ARI,Shifted-cell fraction,8%,PcaGrid,0.00131533411623962,0.00147087326672275,10
ARI,Shifted-cell fraction,8%,PcaHubert,0.945452060506499,0.0292141826384311,10
ARI,Shifted-cell fraction,8%,PCP,0.960996978494301,0.0231754252993317,10
ARI,Shifted-cell fraction,8%,K's tau,0.964109722335956,0.0141483777868386,10
ARI,Shifted-cell fraction,8%,Winsor,0.961948852339687,0.0181403188858659,10
ARI,Shifted-cell fraction,8%,Quad,0.96409312097291,0.0172640457586179,10
ARI,Shifted-cell fraction,8%,Ball,0.964153882383802,0.0150154183340852,10
ARI,Shifted-cell fraction,8%,Shell,0.964668208344427,0.0139834605692832,10
ARI,Shifted-cell fraction,8%,LR,0.963770829253456,0.0151689596798012,10
ARI,Shifted-cell fraction,10%,PCA,0.961825502004609,0.0137493469554981,10
ARI,Shifted-cell fraction,10%,PcaGrid,0.00238990640840549,0.00261005625835904,10
ARI,Shifted-cell fraction,10%,PcaHubert,0.94202069124698,0.0319060069270264,10
ARI,Shifted-cell fraction,10%,PCP,0.930875169599396,0.0669927004874976,10
ARI,Shifted-cell fraction,10%,K's tau,0.965250688883681,0.014540061572447,10
ARI,Shifted-cell fraction,10%,Winsor,0.963530948265855,0.0140963073777918,10
ARI,Shifted-cell fraction,10%,Quad,0.962352079882773,0.0142757234796413,10
