BaseID,Replicate,ParamID,Condition,dropout_mid,doublet_frac,cell_frac,meanlog,Method,PCwisePC10,PCwisePC20
1,1,2,dropout,-1,,,,Ball,0.364734206773365,0.200532742666522
1,1,2,dropout,-1,,,,K's tau,0.368844278863826,0.197368814773175
1,1,2,dropout,-1,,,,LR,0.371200698130519,0.200932642848089
1,1,2,dropout,-1,,,,PCA,0.3868795610713,0.213572255772741
1,1,2,dropout,-1,,,,PCP,0.391225301693783,0.213222758217339
1,1,2,dropout,-1,,,,PcaGrid,0.00315193643169962,0.00221086559325853
1,1,2,dropout,-1,,,,PcaHubert,0.235271417916179,0.131906263119166
1,1,2,dropout,-1,,,,Quad,0.378370250598598,0.201701103082483
1,1,2,dropout,-1,,,,Shell,0.374170984416775,0.203608154075643
1,1,2,dropout,-1,,,,Winsor,0.379884778448716,0.205519312531608
1,2,2,dropout,-1,,,,Ball,0.338224308890974,0.183438852285667
1,2,2,dropout,-1,,,,K's tau,0.3331756340135,0.180919910105636
1,2,2,dropout,-1,,,,LR,0.349866215799391,0.189901336892506
1,2,2,dropout,-1,,,,PCA,0.370210894771569,0.200373630424976
1,2,2,dropout,-1,,,,PCP,0.298550580882781,0.171520273089003
1,2,2,dropout,-1,,,,PcaGrid,0.000705769833164881,0.00107608670105453
1,2,2,dropout,-1,,,,PcaHubert,0.136987337270093,0.0887195306241915
1,2,2,dropout,-1,,,,Quad,0.372270218106,0.198084250715297
1,2,2,dropout,-1,,,,Shell,0.366079233087473,0.193911416742731
1,2,2,dropout,-1,,,,Winsor,0.367712607600322,0.198705209864344
1,3,2,dropout,-1,,,,Ball,0.421790556724118,0.224692662247597
1,3,2,dropout,-1,,,,K's tau,0.419473039733305,0.228369583301961
1,3,2,dropout,-1,,,,LR,0.422148290903546,0.226888880104443
1,3,2,dropout,-1,,,,PCA,0.42488282984291,0.22949291852257
1,3,2,dropout,-1,,,,PCP,0.505855137087044,0.270324357021564
1,3,2,dropout,-1,,,,PcaGrid,0.000937250361273333,0.000937729030325331
1,3,2,dropout,-1,,,,PcaHubert,0.229778352399254,0.136506412136101
1,3,2,dropout,-1,,,,Quad,0.416687444124351,0.222600196002603
1,3,2,dropout,-1,,,,Shell,0.416560162011151,0.223904031514474
1,3,2,dropout,-1,,,,Winsor,0.416550775217074,0.224514229844993
1,4,2,dropout,-1,,,,Ball,0.414611305803833,0.216200608166368
1,4,2,dropout,-1,,,,K's tau,0.415472819937466,0.224159197699703
1,4,2,dropout,-1,,,,LR,0.416895069870471,0.222244586082242
1,4,2,dropout,-1,,,,PCA,0.420726597884505,0.223723938474362
1,4,2,dropout,-1,,,,PCP,0.475529989500272,0.265148899940463
1,4,2,dropout,-1,,,,PcaGrid,0.000853008174789483,0.000741415227774758
1,4,2,dropout,-1,,,,PcaHubert,0.181999624620808,0.108061634306617
1,4,2,dropout,-1,,,,Quad,0.41900316668085,0.218430592088927
1,4,2,dropout,-1,,,,Shell,0.417318044917115,0.225691632950727
1,4,2,dropout,-1,,,,Winsor,0.418698206939777,0.219780923954075
1,5,2,dropout,-1,,,,Ball,0.326787792449312,0.181489475922274
1,5,2,dropout,-1,,,,K's tau,0.338279924798197,0.183603414923886
1,5,2,dropout,-1,,,,LR,0.331236115846738,0.181031982385543
1,5,2,dropout,-1,,,,PCA,0.344152779920283,0.178644244635936
1,5,2,dropout,-1,,,,PCP,0.363558792537597,0.200678803839068
1,5,2,dropout,-1,,,,PcaGrid,0.000451631331739078,0.00116646081851776
1,5,2,dropout,-1,,,,PcaHubert,0.227212371528815,0.124803463380626
1,5,2,dropout,-1,,,,Quad,0.345598180971723,0.187579957549111
1,5,2,dropout,-1,,,,Shell,0.348891793649119,0.182307279682646
1,5,2,dropout,-1,,,,Winsor,0.344790024607223,0.182523540976417
1,6,2,dropout,-1,,,,Ball,0.416806207694739,0.220038494480127
1,6,2,dropout,-1,,,,K's tau,0.422630075682693,0.226826110150246
1,6,2,dropout,-1,,,,LR,0.420759050573415,0.225924354361116
1,6,2,dropout,-1,,,,PCA,0.420006150100471,0.224222424279484
1,6,2,dropout,-1,,,,PCP,0.500129743564369,0.279541886243547
1,6,2,dropout,-1,,,,PcaGrid,0.00102175267703849,0.000587440004057071
1,6,2,dropout,-1,,,,PcaHubert,0.362075968727298,0.199872061378351
1,6,2,dropout,-1,,,,Quad,0.422255685332461,0.218850693573319
1,6,2,dropout,-1,,,,Shell,0.423670900311346,0.227792668680801
1,6,2,dropout,-1,,,,Winsor,0.422151394472153,0.223811949481674
1,7,2,dropout,-1,,,,Ball,0.373345632603521,0.203184985149831
1,7,2,dropout,-1,,,,K's tau,0.379758967237254,0.20955720688878
1,7,2,dropout,-1,,,,LR,0.380626937251775,0.206217034512215
1,7,2,dropout,-1,,,,PCA,0.384640552601507,0.211452112106876
1,7,2,dropout,-1,,,,PCP,0.463202751907973,0.249112347008034
1,7,2,dropout,-1,,,,PcaGrid,0.00544085528185543,0.00282978814420051
1,7,2,dropout,-1,,,,PcaHubert,0.292132102428745,0.155554806419298
1,7,2,dropout,-1,,,,Quad,0.391175580930013,0.213895940599054
1,7,2,dropout,-1,,,,Shell,0.396081567290955,0.216204564804823
1,7,2,dropout,-1,,,,Winsor,0.392869834968883,0.214797915106882
1,8,2,dropout,-1,,,,Ball,0.293536321432086,0.158367222668056
1,8,2,dropout,-1,,,,K's tau,0.2872625695936,0.155530259572919
1,8,2,dropout,-1,,,,LR,0.292197729384221,0.159120248648267
1,8,2,dropout,-1,,,,PCA,0.304146426501656,0.168105276260041
1,8,2,dropout,-1,,,,PCP,0.378137985840559,0.216199889857627
1,8,2,dropout,-1,,,,PcaGrid,0.00115256256151984,0.000691925519566274
1,8,2,dropout,-1,,,,PcaHubert,0.282932988106572,0.154073792784593
1,8,2,dropout,-1,,,,Quad,0.293175028655819,0.162710047572616
